Source;Target;Weight;Type
bus.Spot@71ba6d4e;bus.Spot@738dc9b;3;Directed
bus.Spot@3c77d488;bus.Spot@63376bed;5;Directed
bus.Spot@4145bad8;bus.Spot@d86a6f;1;Directed
bus.Spot@2892d68;bus.Spot@5ab956d7;1;Directed
bus.Spot@3646a422;bus.Spot@750e2b97;4;Directed
bus.Spot@3e27aa33;bus.Spot@2e385cce;3;Directed
bus.Spot@2ddc9a9f;bus.Spot@298a5e20;1;Directed
bus.Spot@2a7f1f10;bus.Spot@46cdf8bd;1;Directed
bus.Spot@f0c8a99;bus.Spot@740cae06;1;Directed
bus.Spot@26d9b808;bus.Spot@f78a47e;5;Directed
bus.Spot@644baf4a;bus.Spot@7526515b;13;Directed
bus.Spot@1ed4ae0f;bus.Spot@54c5a2ff;1;Directed
bus.Spot@6d4d66d2;bus.Spot@2a265ea9;4;Directed
bus.Spot@11392934;bus.Spot@6892b3b6;1;Directed
bus.Spot@6e6f2380;bus.Spot@76a4ebf2;2;Directed
bus.Spot@2e8c1c9b;bus.Spot@53fe15ff;1;Directed
bus.Spot@449a4f23;bus.Spot@1530c739;1;Directed
bus.Spot@5b1669c0;bus.Spot@78e4deb0;3;Directed
bus.Spot@6e9175d8;bus.Spot@7d0b7e3c;1;Directed
bus.Spot@15bb5034;bus.Spot@4b741d6d;2;Directed
bus.Spot@2eae8e6e;bus.Spot@8f2ef19;2;Directed
bus.Spot@470734c3;bus.Spot@2cf3d63b;4;Directed
bus.Spot@7674f035;bus.Spot@69e153c5;1;Directed
bus.Spot@173ed316;bus.Spot@25ce9dc4;3;Directed
bus.Spot@74ea2410;bus.Spot@17f62e33;1;Directed
bus.Spot@76b1e9b8;bus.Spot@27406a17;1;Directed
bus.Spot@2af004b;bus.Spot@248e319b;1;Directed
bus.Spot@5d0bf09b;bus.Spot@793f29ff;2;Directed
bus.Spot@3e8c3cb;bus.Spot@563f38c4;4;Directed
bus.Spot@543295b0;bus.Spot@54422e18;10;Directed
bus.Spot@117159c0;bus.Spot@3e27ba32;1;Directed
bus.Spot@7ef82753;bus.Spot@3b0fe47a;2;Directed
bus.Spot@202b0582;bus.Spot@235ecd9f;1;Directed
bus.Spot@1ca3b418;bus.Spot@58cbafc2;1;Directed
bus.Spot@2034b64c;bus.Spot@75d3a5e0;1;Directed
bus.Spot@74d1dc36;bus.Spot@7161d8d1;1;Directed
bus.Spot@74e28667;bus.Spot@1cf6d1be;1;Directed
bus.Spot@663c9e7a;bus.Spot@19e4653c;1;Directed
bus.Spot@795509d9;bus.Spot@53045c6c;1;Directed
bus.Spot@5149d738;bus.Spot@6bbe85a8;1;Directed
bus.Spot@3a7442c7;bus.Spot@4be29ed9;3;Directed
bus.Spot@548d708a;bus.Spot@4b013c76;2;Directed
bus.Spot@53fb3dab;bus.Spot@cb0755b;1;Directed
bus.Spot@33065d67;bus.Spot@712625fd;3;Directed
bus.Spot@7bba5817;bus.Spot@742ff096;2;Directed
bus.Spot@75437611;bus.Spot@350aac89;1;Directed
bus.Spot@1c5920df;bus.Spot@17f9d882;2;Directed
bus.Spot@79e4c792;bus.Spot@196a42c3;1;Directed
bus.Spot@4c60d6e9;bus.Spot@15043a2f;4;Directed
bus.Spot@4a83a74a;bus.Spot@1349883;2;Directed
bus.Spot@4b29d1d2;bus.Spot@7f485fda;1;Directed
bus.Spot@28261e8e;bus.Spot@d737b89;5;Directed
bus.Spot@8519cb4;bus.Spot@35dab4eb;1;Directed
bus.Spot@2d901eb0;bus.Spot@3ba987b8;1;Directed
bus.Spot@3f191845;bus.Spot@5f049ea1;1;Directed
bus.Spot@72cc7e6f;bus.Spot@5afa3c9;1;Directed
bus.Spot@72035809;bus.Spot@909217e;1;Directed
bus.Spot@18271936;bus.Spot@606e4010;1;Directed
bus.Spot@8458f04;bus.Spot@48075da3;3;Directed
bus.Spot@68c9133c;bus.Spot@7a35b0f5;1;Directed
bus.Spot@5e2c3d18;bus.Spot@2cb4893b;1;Directed
bus.Spot@cc43f62;bus.Spot@5b218417;1;Directed
bus.Spot@645aa696;bus.Spot@6caf0677;4;Directed
bus.Spot@413d1baf;bus.Spot@16eb3ea3;2;Directed
bus.Spot@273444fe;bus.Spot@33bc72d1;1;Directed
bus.Spot@1a75e76a;bus.Spot@5524cca1;1;Directed
bus.Spot@5032714f;bus.Spot@48bb62;1;Directed
bus.Spot@353352b6;bus.Spot@4681c175;1;Directed
bus.Spot@57a78e3;bus.Spot@402c4085;1;Directed
bus.Spot@6fa51cd4;bus.Spot@2767e23c;1;Directed
bus.Spot@710c2b53;bus.Spot@5386659f;1;Directed
bus.Spot@14028087;bus.Spot@cecf639;4;Directed
bus.Spot@1caa0244;bus.Spot@7ce026d3;1;Directed
bus.Spot@7ce69770;bus.Spot@1750fbeb;1;Directed
bus.Spot@5b247367;bus.Spot@268f106e;1;Directed
bus.Spot@6e9a5ed8;bus.Spot@7e057f43;4;Directed
bus.Spot@6c284af;bus.Spot@5890e879;2;Directed
bus.Spot@6440112d;bus.Spot@31ea9581;2;Directed
bus.Spot@231f98ef;bus.Spot@7c137fd5;1;Directed
bus.Spot@183ec003;bus.Spot@7d9d0818;2;Directed
bus.Spot@221a3fa4;bus.Spot@451001e5;1;Directed
bus.Spot@2b40ff9c;bus.Spot@3e08ff24;2;Directed
bus.Spot@4d1c005e;bus.Spot@8462f31;1;Directed
bus.Spot@24569dba;bus.Spot@5ddeb7cb;4;Directed
bus.Spot@70ed52de;bus.Spot@496bc455;5;Directed
bus.Spot@59402b8f;bus.Spot@7188af83;2;Directed
bus.Spot@6be968ce;bus.Spot@7c37508a;1;Directed
bus.Spot@247310d0;bus.Spot@1033576a;2;Directed
bus.Spot@303cf2ba;bus.Spot@76494737;1;Directed
bus.Spot@4a003cbe;bus.Spot@4082ba93;2;Directed
bus.Spot@17fc391b;bus.Spot@2b30a42c;1;Directed
bus.Spot@609e8838;bus.Spot@359df09a;1;Directed
bus.Spot@43df23d3;bus.Spot@6d60fe40;1;Directed
bus.Spot@792b749c;bus.Spot@23e84203;4;Directed
bus.Spot@19932c16;bus.Spot@73eb439a;3;Directed
bus.Spot@514646ef;bus.Spot@305ffe9e;2;Directed
bus.Spot@302c971f;bus.Spot@1972e513;2;Directed
bus.Spot@7ae0a9ec;bus.Spot@35841320;1;Directed
bus.Spot@61c4eee0;bus.Spot@6f10d5b6;1;Directed
bus.Spot@1040be71;bus.Spot@548a24a;3;Directed
bus.Spot@433defed;bus.Spot@2a693f59;1;Directed
bus.Spot@3f4faf53;bus.Spot@7fd50002;1;Directed
bus.Spot@533bda92;bus.Spot@304bb45b;3;Directed
bus.Spot@723ca036;bus.Spot@25be7b63;2;Directed
bus.Spot@28dcca0c;bus.Spot@45d84a20;3;Directed
bus.Spot@52f27fbd;bus.Spot@4c163e3;1;Directed
bus.Spot@4a8355dd;bus.Spot@4d0d9fe7;1;Directed
bus.Spot@c430e6c;bus.Spot@312aa7c;1;Directed
bus.Spot@536f2a7e;bus.Spot@72bc6553;2;Directed
bus.Spot@66982506;bus.Spot@70cf32e3;3;Directed
bus.Spot@5a59ca5e;bus.Spot@4bdeaabb;1;Directed
bus.Spot@6c4906d3;bus.Spot@65987993;1;Directed
bus.Spot@71075444;bus.Spot@4f32a3ad;1;Directed
bus.Spot@6b695b06;bus.Spot@4d1bf319;3;Directed
bus.Spot@6f53b8a;bus.Spot@5c80cf32;1;Directed
bus.Spot@7d900ecf;bus.Spot@6f01b95f;1;Directed
bus.Spot@4007f65e;bus.Spot@1a245833;1;Directed
bus.Spot@673fdbce;bus.Spot@5965d37;1;Directed
bus.Spot@7a5ceedd;bus.Spot@4201c465;4;Directed
bus.Spot@5b799640;bus.Spot@6cb107fd;1;Directed
bus.Spot@710636b0;bus.Spot@3de8f619;1;Directed
bus.Spot@2ab4bc72;bus.Spot@4e5ed836;1;Directed
bus.Spot@eadd4fb;bus.Spot@740fb309;2;Directed
bus.Spot@7bd7d6d6;bus.Spot@43f02ef2;1;Directed
bus.Spot@239a307b;bus.Spot@2a8448fa;3;Directed
bus.Spot@6f204a1a;bus.Spot@2de56eb2;2;Directed
bus.Spot@5f8e8a9d;bus.Spot@5745ca0e;1;Directed
bus.Spot@3ad83a66;bus.Spot@3cce5371;3;Directed
bus.Spot@17bffc17;bus.Spot@6e535154;1;Directed
bus.Spot@15a34df2;bus.Spot@5b38c1ec;2;Directed
bus.Spot@338fc1d8;bus.Spot@4722ef0c;4;Directed
bus.Spot@48e1f6c7;bus.Spot@55cb6996;4;Directed
bus.Spot@1807e3f6;bus.Spot@480d3575;2;Directed
bus.Spot@f1da57d;bus.Spot@194fad1;5;Directed
bus.Spot@26abb146;bus.Spot@72c8e7b;2;Directed
bus.Spot@65f8f5ae;bus.Spot@431cd9b2;3;Directed
bus.Spot@38467116;bus.Spot@5b7a7f33;1;Directed
bus.Spot@790da477;bus.Spot@5c7933ad;1;Directed
bus.Spot@57bc27f5;bus.Spot@5fb759d6;2;Directed
bus.Spot@4b8d604b;bus.Spot@5e7cd6cc;4;Directed
bus.Spot@68c9d179;bus.Spot@d554c5f;1;Directed
bus.Spot@2dfaea86;bus.Spot@15888343;1;Directed
bus.Spot@33ecda92;bus.Spot@14fc5f04;1;Directed
bus.Spot@6e2829c7;bus.Spot@3feb2dda;2;Directed
bus.Spot@6a8658ff;bus.Spot@1c742ed4;1;Directed
bus.Spot@333d4a8c;bus.Spot@55de24cc;3;Directed
bus.Spot@dc7df28;bus.Spot@30f842ca;1;Directed
bus.Spot@69c81773;bus.Spot@4d14b6c2;1;Directed
bus.Spot@7e990ed7;bus.Spot@c05fddc;1;Directed
bus.Spot@25df00a0;bus.Spot@4d15107f;1;Directed
bus.Spot@7b4c50bc;bus.Spot@5884a914;1;Directed
bus.Spot@50378a4;bus.Spot@60f00693;1;Directed
bus.Spot@79207381;bus.Spot@491b9b8;1;Directed
bus.Spot@1a4927d6;bus.Spot@7a6d7e92;4;Directed
bus.Spot@aba625;bus.Spot@97e93f1;2;Directed
bus.Spot@5a5a729f;bus.Spot@4b520ea8;1;Directed
bus.Spot@16150369;bus.Spot@6b09fb41;2;Directed
bus.Spot@624ea235;bus.Spot@3932c79a;1;Directed
bus.Spot@782859e;bus.Spot@23f5b5dc;1;Directed
bus.Spot@34bde49d;bus.Spot@1b1cfb87;1;Directed
bus.Spot@821330f;bus.Spot@6f43c82;2;Directed
bus.Spot@5db6b9cd;bus.Spot@210ab13f;3;Directed
bus.Spot@20b2475a;bus.Spot@7857fe2;1;Directed
bus.Spot@6f15d60e;bus.Spot@1be2019a;1;Directed
bus.Spot@29d80d2b;bus.Spot@58e1d9d;1;Directed
bus.Spot@446a1e84;bus.Spot@4f0f2942;1;Directed
bus.Spot@2657d4dd;bus.Spot@5340477f;1;Directed
bus.Spot@47caedad;bus.Spot@7139992f;1;Directed
bus.Spot@69504ae9;bus.Spot@387a8303;1;Directed
bus.Spot@28cda624;bus.Spot@1500b2f3;4;Directed
bus.Spot@7eecb5b8;bus.Spot@126253fd;1;Directed
bus.Spot@57db2b13;bus.Spot@475c9c31;2;Directed
bus.Spot@5c86a017;bus.Spot@5c7bfdc1;1;Directed
bus.Spot@5276d6ee;bus.Spot@71687585;3;Directed
bus.Spot@1807f5a7;bus.Spot@1b919693;1;Directed
bus.Spot@7fb4f2a9;bus.Spot@4dc27487;1;Directed
bus.Spot@6a4f1a55;bus.Spot@7dfd3c81;1;Directed
bus.Spot@2584b82d;bus.Spot@7bbc8656;1;Directed
bus.Spot@6933b6c6;bus.Spot@7d3e8655;3;Directed
bus.Spot@7dfb0c0f;bus.Spot@626abbd0;1;Directed
bus.Spot@169bb4dd;bus.Spot@1f9e9475;1;Directed
bus.Spot@3aa078fd;bus.Spot@d23e042;1;Directed
bus.Spot@46d59067;bus.Spot@2d0399f4;1;Directed
bus.Spot@14dd7b39;bus.Spot@66ea810;1;Directed
bus.Spot@6cd24612;bus.Spot@5dafbe45;2;Directed
bus.Spot@2254127a;bus.Spot@51891008;1;Directed
bus.Spot@2f953efd;bus.Spot@f68f0dc;1;Directed
bus.Spot@d2de489;bus.Spot@14bdbc74;2;Directed
bus.Spot@12591ac8;bus.Spot@5a7fe64f;2;Directed
bus.Spot@38145825;bus.Spot@41330d4f;1;Directed
bus.Spot@1b66c0fb;bus.Spot@3e0e1046;3;Directed
bus.Spot@24c1b2d2;bus.Spot@7dc19a70;1;Directed
bus.Spot@508dec2b;bus.Spot@1e4f4a5c;1;Directed
bus.Spot@37313c65;bus.Spot@465232e9;5;Directed
bus.Spot@798162bc;bus.Spot@1df8da7a;1;Directed
bus.Spot@23941fb4;bus.Spot@7486b455;2;Directed
bus.Spot@660acfb;bus.Spot@5d908d47;1;Directed
bus.Spot@5efa40fe;bus.Spot@1f9f6368;1;Directed
bus.Spot@1c9b0314;bus.Spot@45385f75;1;Directed
bus.Spot@49c90a9c;bus.Spot@2d29b4ee;1;Directed
bus.Spot@69ee81fc;bus.Spot@6e2aa843;2;Directed
bus.Spot@6f36c2f0;bus.Spot@f58853c;1;Directed
bus.Spot@1224144a;bus.Spot@29f7cefd;1;Directed
bus.Spot@700fb871;bus.Spot@3b35a229;1;Directed
bus.Spot@9816741;bus.Spot@1e16c0aa;4;Directed
bus.Spot@13d73f29;bus.Spot@565f390;3;Directed
bus.Spot@7dc3712;bus.Spot@2f67a4d3;1;Directed
bus.Spot@5e3f861;bus.Spot@2fb0623e;4;Directed
bus.Spot@49b2a47d;bus.Spot@5be1d0a4;1;Directed
bus.Spot@415b0b49;bus.Spot@6d5620ce;3;Directed
bus.Spot@311bf055;bus.Spot@642a7222;3;Directed
bus.Spot@7d322cad;bus.Spot@21be3395;1;Directed
bus.Spot@4f49f6af;bus.Spot@78452606;3;Directed
bus.Spot@147e2ae7;bus.Spot@448c8166;1;Directed
bus.Spot@4470fbd6;bus.Spot@15d49048;3;Directed
bus.Spot@7098b907;bus.Spot@503f91c3;1;Directed
bus.Spot@13526e59;bus.Spot@2235eaab;1;Directed
bus.Spot@17503f6b;bus.Spot@3bcd05cb;1;Directed
bus.Spot@3b6d844d;bus.Spot@36804139;1;Directed
bus.Spot@20bd8be5;bus.Spot@730d2164;2;Directed
bus.Spot@24959ca4;bus.Spot@10289886;1;Directed
bus.Spot@5c86dbc5;bus.Spot@461ad730;1;Directed
bus.Spot@4ee203eb;bus.Spot@1a5a4e19;1;Directed
bus.Spot@7068e664;bus.Spot@60db1c0e;5;Directed
bus.Spot@3e78b6a5;bus.Spot@769a1df5;2;Directed
bus.Spot@41f69e84;bus.Spot@7975d1d8;1;Directed
bus.Spot@2438dcd;bus.Spot@24105dc5;1;Directed
bus.Spot@5167f57d;bus.Spot@64b0598;1;Directed
bus.Spot@18f8cd79;bus.Spot@3e2055d6;1;Directed
bus.Spot@50029372;bus.Spot@e3b3b2f;1;Directed
bus.Spot@50f6ac94;bus.Spot@6cc4cdb9;1;Directed
bus.Spot@28194a50;bus.Spot@7f2cfe3f;1;Directed
bus.Spot@1a5b6f42;bus.Spot@5038d0b5;1;Directed
bus.Spot@32115b28;bus.Spot@2ad48653;2;Directed
bus.Spot@6bb4dd34;bus.Spot@7d9f158f;1;Directed
bus.Spot@45efd90f;bus.Spot@4b8729ff;2;Directed
bus.Spot@61710c6;bus.Spot@3214ee6;1;Directed
bus.Spot@383dc82c;bus.Spot@4a07d605;1;Directed
bus.Spot@74287ea3;bus.Spot@7d7758be;1;Directed
bus.Spot@2bdd8394;bus.Spot@5f9edf14;5;Directed
bus.Spot@68746f22;bus.Spot@2f01783a;4;Directed
bus.Spot@68878f6d;bus.Spot@41488b16;1;Directed
bus.Spot@a8ef162;bus.Spot@2eea88a1;2;Directed
bus.Spot@7ac296f6;bus.Spot@7fd7a283;2;Directed
bus.Spot@22f59fa;bus.Spot@78fa769e;1;Directed
bus.Spot@16612a51;bus.Spot@54e041a4;1;Directed
bus.Spot@2c78324b;bus.Spot@79defdc;1;Directed
bus.Spot@18317edc;bus.Spot@4e0ae11f;3;Directed
bus.Spot@238d68ff;bus.Spot@4b86805d;3;Directed
bus.Spot@5852c06f;bus.Spot@4149c063;3;Directed
bus.Spot@9cb8225;bus.Spot@76b07f29;1;Directed
bus.Spot@38af9828;bus.Spot@376a0d86;4;Directed
bus.Spot@62656be4;bus.Spot@17d919b6;1;Directed
bus.Spot@53f3bdbd;bus.Spot@34129c78;5;Directed
bus.Spot@7d61eb55;bus.Spot@222a59e6;1;Directed
bus.Spot@6c7a164b;bus.Spot@4c2bb6e0;1;Directed
bus.Spot@3e62d773;bus.Spot@4ef74c30;1;Directed
bus.Spot@7283d3eb;bus.Spot@638ef7ed;1;Directed
bus.Spot@4bff7da0;bus.Spot@3f1d2e23;1;Directed
bus.Spot@536dbea0;bus.Spot@47c81abf;2;Directed
bus.Spot@776a6d9b;bus.Spot@21d03963;1;Directed
bus.Spot@1f760b47;bus.Spot@18ece7f4;2;Directed
bus.Spot@3cce57c7;bus.Spot@1cf56a1c;1;Directed
bus.Spot@33f676f6;bus.Spot@4c5ae43b;1;Directed
bus.Spot@264f218;bus.Spot@3576ddc2;1;Directed
bus.Spot@35b74c5c;bus.Spot@2e570ded;3;Directed
bus.Spot@b86de0d;bus.Spot@81d9a72;1;Directed
bus.Spot@747f281;bus.Spot@1169afe1;2;Directed
bus.Spot@2ca26d77;bus.Spot@4808bc9b;1;Directed
bus.Spot@70e38ce1;bus.Spot@2ca923bb;1;Directed
bus.Spot@13df2a8c;bus.Spot@1ebea008;1;Directed
bus.Spot@72d6b3ba;bus.Spot@1787f2a0;1;Directed
bus.Spot@7de62196;bus.Spot@163370c2;3;Directed
bus.Spot@51bf5add;bus.Spot@7905a0b8;4;Directed
bus.Spot@35a3d49f;bus.Spot@389b0789;1;Directed
bus.Spot@13d9cbf5;bus.Spot@478db956;1;Directed
bus.Spot@6ca18a14;bus.Spot@c667f46;1;Directed
bus.Spot@51bd8b5c;bus.Spot@7b50df34;3;Directed
bus.Spot@1b410b60;bus.Spot@2462cb01;1;Directed
bus.Spot@19b843ba;bus.Spot@64ec96c6;1;Directed
bus.Spot@77659b30;bus.Spot@456d6c1e;1;Directed
bus.Spot@1e13529a;bus.Spot@1ec9bd38;1;Directed
bus.Spot@452e19ca;bus.Spot@6b0d80ed;1;Directed
bus.Spot@6f8e8894;bus.Spot@3cfdd820;4;Directed
bus.Spot@928763c;bus.Spot@e25951c;3;Directed
bus.Spot@15f47664;bus.Spot@471a9022;3;Directed
bus.Spot@dc9876b;bus.Spot@2f666ebb;1;Directed
bus.Spot@19976a65;bus.Spot@a1f72f5;2;Directed
bus.Spot@4b2c5e02;bus.Spot@57a3e26a;2;Directed
bus.Spot@75c56eb9;bus.Spot@4bc222e;1;Directed
bus.Spot@2dc9b0f5;bus.Spot@6531a794;3;Directed
bus.Spot@3b5fad2d;bus.Spot@5e17553a;3;Directed
bus.Spot@3eb91815;bus.Spot@56dc1551;1;Directed
bus.Spot@102cec62;bus.Spot@74f6c5d8;2;Directed
bus.Spot@27912e3;bus.Spot@34b9f960;5;Directed
bus.Spot@43015c69;bus.Spot@19b89d4;2;Directed
bus.Spot@4bbf6d0e;bus.Spot@30b6ffe0;4;Directed
bus.Spot@791d1f8b;bus.Spot@2415fc55;6;Directed
bus.Spot@14f232c4;bus.Spot@13bc8645;2;Directed
bus.Spot@24c22fe;bus.Spot@93081b6;2;Directed
bus.Spot@cd1e646;bus.Spot@7ba8c737;3;Directed
bus.Spot@1890516e;bus.Spot@15a04efb;1;Directed
bus.Spot@16c069df;bus.Spot@2bec854f;1;Directed
bus.Spot@31edaa7d;bus.Spot@26adfd2d;1;Directed
bus.Spot@3336e6b6;bus.Spot@7c3fdb62;2;Directed
bus.Spot@205d38da;bus.Spot@6950ed69;1;Directed
bus.Spot@6dd7b5a3;bus.Spot@6f3187b0;1;Directed
bus.Spot@2663e964;bus.Spot@48b67364;1;Directed
bus.Spot@189cbd7c;bus.Spot@7bf3a5d8;1;Directed
bus.Spot@42e25b0b;bus.Spot@39b43d60;3;Directed
bus.Spot@44be0077;bus.Spot@2205a05d;1;Directed
bus.Spot@72ef8d15;bus.Spot@6aa8e115;2;Directed
bus.Spot@5e21e98f;bus.Spot@51a9ad5e;2;Directed
bus.Spot@5f20155b;bus.Spot@72ade7e3;3;Directed
bus.Spot@239105a8;bus.Spot@3fce8fd9;3;Directed
bus.Spot@609bcfb6;bus.Spot@7d94beb9;1;Directed
bus.Spot@560348e6;bus.Spot@1df8b5b8;1;Directed
bus.Spot@23202fce;bus.Spot@7b993c65;1;Directed
bus.Spot@37911f88;bus.Spot@6f1c29b7;1;Directed
bus.Spot@4d6025c5;bus.Spot@7f284218;10;Directed
bus.Spot@407a7f2a;bus.Spot@4ea5b703;4;Directed
bus.Spot@2a7ed1f;bus.Spot@3fa247d1;1;Directed
bus.Spot@2cb2fc20;bus.Spot@4f4c4b1a;1;Directed
bus.Spot@723e88f9;bus.Spot@5f0fd5a0;4;Directed
bus.Spot@64e7619d;bus.Spot@495ee280;1;Directed
bus.Spot@4fa1c212;bus.Spot@6ea2bc93;1;Directed
bus.Spot@3116c353;bus.Spot@f627d13;2;Directed
bus.Spot@4e928fbf;bus.Spot@352ff4da;1;Directed
bus.Spot@3224a577;bus.Spot@2e32ccc5;2;Directed
bus.Spot@748741cb;bus.Spot@3e44f2a5;3;Directed
bus.Spot@295cf707;bus.Spot@1130520d;1;Directed
bus.Spot@5f77d0f9;bus.Spot@463fd068;2;Directed
bus.Spot@895e367;bus.Spot@1b266842;2;Directed
bus.Spot@7a3793c7;bus.Spot@42b3b079;1;Directed
bus.Spot@651aed93;bus.Spot@4dd6fd0a;2;Directed
bus.Spot@bb9e6dc;bus.Spot@5456afaa;3;Directed
bus.Spot@6692b6c6;bus.Spot@1cd629b3;2;Directed
bus.Spot@589da3f3;bus.Spot@39d76cb5;1;Directed
bus.Spot@4a00d9cf;bus.Spot@6736fa8d;5;Directed
bus.Spot@52815fa3;bus.Spot@50313382;2;Directed
bus.Spot@1cb346ea;bus.Spot@4c012563;2;Directed
bus.Spot@14a50707;bus.Spot@4d518b32;1;Directed
bus.Spot@4bd31064;bus.Spot@e3c0e40;3;Directed
bus.Spot@329dbdbf;bus.Spot@7354b8c5;1;Directed
bus.Spot@20d7d6fb;bus.Spot@4ef782af;1;Directed
bus.Spot@11d8ae8b;bus.Spot@479cbee5;1;Directed
bus.Spot@59e2d8e3;bus.Spot@2b72cb8a;1;Directed
bus.Spot@7f8a9499;bus.Spot@5d43661b;3;Directed
bus.Spot@12299890;bus.Spot@2fba3fc4;2;Directed
bus.Spot@4bf48f6;bus.Spot@420a85c4;2;Directed
bus.Spot@1c39680d;bus.Spot@62833051;4;Directed
bus.Spot@1c852c0f;bus.Spot@a37aefe;1;Directed
bus.Spot@5d99c6b5;bus.Spot@266374ef;1;Directed
bus.Spot@13b3d178;bus.Spot@24c4ddae;3;Directed
bus.Spot@37fb0bed;bus.Spot@a82c5f1;1;Directed
bus.Spot@7b7fdc8;bus.Spot@51c693d;1;Directed
bus.Spot@6a57ae10;bus.Spot@766653e6;1;Directed
bus.Spot@4e07b95f;bus.Spot@28b46423;2;Directed
bus.Spot@7fc4780b;bus.Spot@3b79fd76;1;Directed
bus.Spot@48c76607;bus.Spot@43599640;1;Directed
bus.Spot@1f81aa00;bus.Spot@6b6776cb;3;Directed
bus.Spot@1863d2fe;bus.Spot@1787bc24;3;Directed
bus.Spot@544d57e;bus.Spot@55c53a33;2;Directed
bus.Spot@53b7f657;bus.Spot@797b0699;2;Directed
bus.Spot@5a37d3ed;bus.Spot@26df6e3a;1;Directed
bus.Spot@4a3631f8;bus.Spot@6b58b9e9;1;Directed
bus.Spot@f14a7d4;bus.Spot@52e7a6b2;1;Directed
bus.Spot@29a5f4e7;bus.Spot@79c97cb;4;Directed
bus.Spot@2d9caaeb;bus.Spot@42a15bdc;2;Directed
bus.Spot@44a59da3;bus.Spot@27e47833;4;Directed
bus.Spot@6f6745d6;bus.Spot@27508c5d;1;Directed
bus.Spot@4f704591;bus.Spot@4b5189ac;4;Directed
bus.Spot@1e4d3ce5;bus.Spot@3ddc6915;1;Directed
bus.Spot@704deff2;bus.Spot@379614be;1;Directed
bus.Spot@404bbcbd;bus.Spot@1e81f160;1;Directed
bus.Spot@1acaf3d;bus.Spot@6986852;1;Directed
bus.Spot@1bab8268;bus.Spot@a307a8c;1;Directed
bus.Spot@6e01f9b0;bus.Spot@2b9ed6da;1;Directed
bus.Spot@6c61a903;bus.Spot@658c5a19;2;Directed
bus.Spot@421e361;bus.Spot@59d4cd39;4;Directed
bus.Spot@389c4eb1;bus.Spot@3fc79729;4;Directed
bus.Spot@34f6515b;bus.Spot@4b34fff9;2;Directed
bus.Spot@1187c9e8;bus.Spot@127a7a2e;1;Directed
bus.Spot@14008db3;bus.Spot@78a773fd;1;Directed
bus.Spot@57c03d88;bus.Spot@16aa8654;2;Directed
bus.Spot@6d7fc27;bus.Spot@45ac5f9b;1;Directed
bus.Spot@135606db;bus.Spot@518caac3;2;Directed
bus.Spot@68034211;bus.Spot@4f74980d;2;Directed
bus.Spot@6c372fe6;bus.Spot@58594a11;1;Directed
bus.Spot@2a3888c1;bus.Spot@4167d97b;2;Directed
bus.Spot@14fa86ae;bus.Spot@6e15fe2;1;Directed
bus.Spot@68f1b17f;bus.Spot@1722011b;2;Directed
bus.Spot@57ad2aa7;bus.Spot@5b3f61ff;1;Directed
bus.Spot@3e2059ae;bus.Spot@398dada8;1;Directed
bus.Spot@7cb502c;bus.Spot@275bf9b3;2;Directed
bus.Spot@1b8a29df;bus.Spot@4fbe37eb;1;Directed
bus.Spot@12a94400;bus.Spot@6a47b187;1;Directed
bus.Spot@2049a9c1;bus.Spot@1ef6d34c;2;Directed
bus.Spot@46271dd6;bus.Spot@11bb571c;4;Directed
bus.Spot@7c51f34b;bus.Spot@5495333e;4;Directed
bus.Spot@2a225dd7;bus.Spot@61eaec38;1;Directed
bus.Spot@125290e5;bus.Spot@6fa34d52;3;Directed
bus.Spot@57576994;bus.Spot@616ac46a;1;Directed
bus.Spot@67b9b51a;bus.Spot@1205bd62;2;Directed
bus.Spot@7ef27d7f;bus.Spot@490caf5f;1;Directed
bus.Spot@6337c201;bus.Spot@5c669da8;1;Directed
bus.Spot@31920ade;bus.Spot@1d483de4;4;Directed
bus.Spot@4032d386;bus.Spot@28d18df5;2;Directed
bus.Spot@934b6cb;bus.Spot@55cf0d14;1;Directed
bus.Spot@3b74ac8;bus.Spot@27adc16e;1;Directed
bus.Spot@b83a9be;bus.Spot@2609b277;1;Directed
bus.Spot@1fd14d74;bus.Spot@563e4951;3;Directed
bus.Spot@4066c471;bus.Spot@2b175c00;3;Directed
bus.Spot@3eb81efb;bus.Spot@1ae8bcbc;1;Directed
bus.Spot@6cdba6dc;bus.Spot@7d3d101b;1;Directed
bus.Spot@30c8681;bus.Spot@5cdec700;3;Directed
bus.Spot@6d026701;bus.Spot@78aa1f72;1;Directed
bus.Spot@1f75a668;bus.Spot@35399441;1;Directed
bus.Spot@4b7dc788;bus.Spot@6304101a;2;Directed
bus.Spot@5170bcf4;bus.Spot@2812b107;1;Directed
bus.Spot@df6620a;bus.Spot@4e31276e;1;Directed
bus.Spot@1a72a540;bus.Spot@27d5a580;1;Directed
bus.Spot@198d6542;bus.Spot@5e403b4a;1;Directed
bus.Spot@5117dd67;bus.Spot@5be49b60;4;Directed
bus.Spot@2931522b;bus.Spot@7674b62c;5;Directed
bus.Spot@19e7a160;bus.Spot@662706a7;3;Directed
bus.Spot@45a4b042;bus.Spot@16b2bb0c;1;Directed
bus.Spot@327af41b;bus.Spot@6cb6decd;2;Directed
bus.Spot@c7045b9;bus.Spot@f99f5e0;1;Directed
