Source;Target;Weight;Type
bus.Spot@7a8c8dcf;bus.Spot@24269709;1;Directed
bus.Spot@2aceadd4;bus.Spot@24aed80c;4;Directed
bus.Spot@3a52dba3;bus.Spot@2a5c8d3f;3;Directed
bus.Spot@752325ad;bus.Spot@279fedbd;1;Directed
bus.Spot@b3ca52e;bus.Spot@45c7e403;1;Directed
bus.Spot@2925bf5b;bus.Spot@710f4dc7;3;Directed
bus.Spot@1ff4931d;bus.Spot@65e98b1c;1;Directed
bus.Spot@61322f9d;bus.Spot@6ad82709;1;Directed
bus.Spot@510f3d34;bus.Spot@7817fd62;2;Directed
bus.Spot@8297b3a;bus.Spot@2362f559;1;Directed
bus.Spot@b2c9a9c;bus.Spot@4c178a76;3;Directed
bus.Spot@fa4c865;bus.Spot@3bd82cf5;1;Directed
bus.Spot@544fa968;bus.Spot@247bddad;1;Directed
bus.Spot@d35dea7;bus.Spot@7770f470;6;Directed
bus.Spot@5e5d171f;bus.Spot@24313fcc;5;Directed
bus.Spot@7d20d0b;bus.Spot@77f1baf5;2;Directed
bus.Spot@41a2befb;bus.Spot@6c40365c;1;Directed
bus.Spot@7bedc48a;bus.Spot@131ef10;4;Directed
bus.Spot@55b0dcab;bus.Spot@38afe297;2;Directed
bus.Spot@2df3b89c;bus.Spot@23348b5d;3;Directed
bus.Spot@70325e14;bus.Spot@37ceb1df;4;Directed
bus.Spot@7c9d8e2;bus.Spot@20d525;4;Directed
bus.Spot@6200f9cb;bus.Spot@2002fc1d;5;Directed
bus.Spot@69453e37;bus.Spot@6f4a47c7;3;Directed
bus.Spot@ae13544;bus.Spot@3d34d211;1;Directed
bus.Spot@7dc0f706;bus.Spot@4009e306;3;Directed
bus.Spot@43c1b556;bus.Spot@587e5365;4;Directed
bus.Spot@22fcf7ab;bus.Spot@2de23121;6;Directed
bus.Spot@63475ace;bus.Spot@4988d8b8;1;Directed
bus.Spot@c0c2f8d;bus.Spot@305b7c14;2;Directed
bus.Spot@6913c1fb;bus.Spot@66d18979;1;Directed
bus.Spot@bccb269;bus.Spot@609cd4d8;1;Directed
bus.Spot@17f7cd29;bus.Spot@7d8704ef;1;Directed
bus.Spot@13b6aecc;bus.Spot@158a8276;1;Directed
bus.Spot@3c3d9b6b;bus.Spot@79d8407f;1;Directed
bus.Spot@5fbe4146;bus.Spot@1e66f1f5;2;Directed
bus.Spot@4e50c791;bus.Spot@7530ad9c;1;Directed
bus.Spot@58a9760d;bus.Spot@71e9ddb4;1;Directed
bus.Spot@394df057;bus.Spot@4961f6af;2;Directed
bus.Spot@5aebe890;bus.Spot@65d09a04;3;Directed
bus.Spot@33c911a1;bus.Spot@75db5df9;3;Directed
bus.Spot@707194ba;bus.Spot@1190200a;1;Directed
bus.Spot@6a2f6f80;bus.Spot@45b4c3a9;2;Directed
