Source;Target;Type
HSJ3;RCA;Directed
RCA;FEL1;Directed
FEL1;CVD1;Directed
CVD1;ISCP1;Directed
ISCP1;DRB1;Directed
DRB1;OG1;Directed
OG1;MOD1;Directed
MOD1;SMM4;Directed
SMM4;LARJ1;Directed
LARJ1;ESAS1;Directed
ESAS1;SSD1;Directed
SSD1;ASZ3;Directed
ASZ3;ZOID1;Directed
ZOID1;CNV1;Directed
CNV1;AZN1;Directed
AZN1;MALM1;Directed
MALM1;MTA3;Directed
MTA3;ARCO1;Directed
ARCO1;GUFE1;Directed
GUFE1;FLO1;Directed
FLO1;GUFS1;Directed
GUFS1;PDAM3;Directed
PDAM3;SM3;Directed
SM3;HB1;Directed
HB1;5OTB3;Directed
5OTB3;LVR3;Directed
LVR3;SL2;Directed
SL2;IMAI1;Directed
IMAI1;LAGE3;Directed
LAGE3;LUCM1;Directed
LUCM1;SBO1;Directed
SBO1;MAIA;Directed
MAIA;VBR2;Directed
VBR2;JZOO1;Directed
JZOO1;MAIZ;Directed
MAIZ;QTAD2;Directed
QTAD2;CCA1;Directed
CCA1;GDM12;Directed
GDM12;GU2;Directed
GU2;CHC2;Directed
CHC2;PMVA2;Directed
PMVA2;PDM2;Directed
PDM2;RAL4;Directed
RAL4;QTM2;Directed
QTM2;STLZ3;Directed
STLZ3;SEND1;Directed
SEND1;CRTM1;Directed
CRTM1;ESTR1;Directed
ESTR1;ZIND3;Directed
ZIND3;BRRO3;Directed
BRRO3;PRU1;Directed
PRU1;AEPT1;Directed
