Source;Target;Type
"VDE1";"UVDE2";Directed
"UVDE2";"MIM2";Directed
"MIM2";"SALM2";Directed
"SALM2";"MV2";Directed
"MV2";"HSS2";Directed
"HSS2";"EMZ2";Directed
"EMZ2";"SRD2";Directed
"SRD2";"EBSR2";Directed
"EBSR2";"RTP2";Directed
"RTP2";"CRVL";Directed
"CRVL";"CCC2";Directed
"CCC2";"SO2";Directed
"SO2";"LGET2";Directed
"LGET2";"CSSR2";Directed
"CSSR2";"SRRS2";Directed
"SRRS2";"LGAV1";Directed
"LGAV1";"HG3";Directed
"HG3";"GENT";Directed
"GENT";"CM3";Directed
"CM3";"GNR2";Directed
"GNR2";"PLU2";Directed
"PLU2";"ELVG2";Directed
"ELVG2";"RBR2";Directed
"RBR2";"MS1";Directed
"MS1";"SBNT3";Directed
"SBNT3";"AAL9";Directed
