Source;Target;Type
QTR1;FCAS2;Directed
FCAS2;LBM;Directed
LBM;ACDR2;Directed
ACDR2;BRC2;Directed
BRC2;BRIB2;Directed
BRIB2;GAZ2;Directed
GAZ2;CDPD;Directed
CDPD;SO4;Directed
SO4;DJM2;Directed
DJM2;ANG;Directed
ANG;JD2;Directed
JD2;PDC;Directed
PDC;LGAV2;Directed
LGAV2;BRRS;Directed
BRRS;TCVC;Directed
TCVC;ALPR1;Directed
ALPR1;VDV2;Directed
VDV2;INFH2;Directed
INFH2;TELH2;Directed
TELH2;GSHP2;Directed
GSHP2;MAKR4;Directed
MAKR4;AKI2;Directed
AKI2;HRC2;Directed
HRC2;RFON2;Directed
RFON2;APRD3;Directed
APRD3;CMSM1;Directed
CMSM1;BVC2;Directed
BVC2;LV4;Directed
LV4;PRMR2;Directed
PRMR2;MJP2;Directed
MJP2;CDL2;Directed
CDL2;LGM2;Directed
LGM2;AH;Directed
AH;28J2;Directed
28J2;CCB2;Directed
CCB2;ARRB2;Directed
ARRB2;JA2;Directed
JA2;CHAS2;Directed
CHAS2;NOC;Directed
NOC;JM2;Directed
JM2;PRG1;Directed
PRG1;BS1;Directed
BS1;BCM2;Directed
BCM2;CMS6;Directed
