Source;Target;Type
"SRGB1";"SRC2";Directed
"SRC2";"1CNTM2";Directed
"1CNTM2";"1STCT";Directed
"1STCT";"TPR";Directed
"TPR";"FTC2";Directed
"FTC2";"BFB";Directed
"BFB";"RCON";Directed
"RCON";"ANT2";Directed
"ANT2";"MAV2";Directed
"MAV2";"SCR1";Directed
"SCR1";"TXP1";Directed
"TXP1";"MPL7";Directed
"MPL7";"FG1";Directed
"FG1";"AQL1";Directed
"AQL1";"PISC";Directed
"PISC";"BSB";Directed
"BSB";"BCG";Directed
"BCG";"SP";Directed
"SP";"RA2";Directed
"RA2";"CZV4";Directed
"CZV4";"BCM1";Directed
"BCM1";"BS6";Directed
