Source;Target;Type
"LVP";"JGD2";Directed
"JGD2";"ELV2";Directed
"ELV2";"ACB2";Directed
"ACB2";"PIC2";Directed
"PIC2";"FTS2";Directed
"FTS2";"ALUM2";Directed
"ALUM2";"JMA";Directed
"JMA";"BGJ2";Directed
"BGJ2";"SCC2";Directed
"SCC2";"ESPH2";Directed
"ESPH2";"QCMN2";Directed
"QCMN2";"RTV2";Directed
"RTV2";"RFL2";Directed
"RFL2";"TFL2";Directed
"TFL2";"CDL2";Directed
"CDL2";"LGM2";Directed
"LGM2";"AH";Directed
"AH";"28J2";Directed
"28J2";"CCB2";Directed
"CCB2";"ARRB2";Directed
"ARRB2";"JA2";Directed
"JA2";"CHAS2";Directed
"CHAS2";"NOC";Directed
"NOC";"JM2";Directed
"JM2";"PRG1";Directed
"PRG1";"BS1";Directed
"BS1";"BCM2";Directed
"BCM2";"CMS6";Directed
