Source;Target;Type
AL2;TRD6;Directed
TRD6;PRFL;Directed
PRFL;GGF;Directed
GGF;CMO;Directed
CMO;HSA5;Directed
HSA5;PAL3;Directed
PAL3;PRG1;Directed
PRG1;BS1;Directed
BS1;BCM3;Directed
BCM3;GRC1;Directed
GRC1;CSBV;Directed
CSBV;SDP1;Directed
SDP1;ABSS1;Directed
ABSS1;SJBC1;Directed
SJBC1;SJB1;Directed
SJB1;IRM1;Directed
IRM1;CRM1;Directed
CRM1;BRRM1;Directed
BRRM1;CSR1;Directed
CSR1;BRCP1;Directed
BRCP1;ANTG1;Directed
ANTG1;LDD2;Directed
LDD2;BFTM3;Directed
BFTM3;PDVD5;Directed
PDVD5;LDSM1;Directed
LDSM1;CSA3;Directed
CSA3;MF1;Directed
MF1;VLN1;Directed
VLN1;ALCF1;Directed
ALCF1;ALD1;Directed
