Source;Target;Type
"AL1";"TRD4";Directed
"TRD4";"PRFL";Directed
"PRFL";"GGF";Directed
"GGF";"CMO";Directed
"CMO";"HSA5";Directed
"HSA5";"PAL2";Directed
"PAL2";"PRG4";Directed
"PRG4";"JM1";Directed
"JM1";"PLNT1";Directed
"PLNT1";"CART1";Directed
"CART1";"JB1";Directed
"JB1";"LRD1";Directed
"LRD1";"PLM1";Directed
"PLM1";"FLUN1";Directed
"FLUN1";"PG1";Directed
"PG1";"PT3";Directed
"PT3";"TRR3";Directed
"TRR3";"PCL1";Directed
"PCL1";"UC1";Directed
"UC1";"MFZ1";Directed
"MFZ1";"LIEG1";Directed
"LIEG1";"CRTO3";Directed
"CRTO3";"MLH5";Directed
"MLH5";"FCH1";Directed
"FCH1";"HMLM3";Directed
"HMLM3";"TIM1";Directed
"TIM1";"CQ10";Directed
