Source;Target;Type
C24A4;DJOA4;Directed
DJOA4;RFZ1;Directed
RFZ1;MOR2;Directed
MOR2;ESCN2;Directed
ESCN2;SI2;Directed
SI2;AUS;Directed
AUS;MPL7;Directed
MPL7;FG1;Directed
FG1;AQL1;Directed
AQL1;PISC;Directed
PISC;BSB;Directed
BSB;BCG;Directed
BCG;SP;Directed
SP;RA2;Directed
RA2;CZV4;Directed
CZV4;BCM1;Directed
BCM1;BVCM3;Directed
BVCM3;BS2;Directed
BS2;PRG2;Directed
PRG2;PAL4;Directed
PAL4;HSA;Directed
HSA;CORD7;Directed
CORD7;SBNT2;Directed
SBNT2;LPDZ;Directed
LPDZ;BTLH6;Directed
BTLH6;SLZ1;Directed
SLZ1;PDR4;Directed
PDR4;C24A4;Directed
