Source;Target;Type
"CMP2";"PBSS2";Directed
"PBSS2";"CSS3";Directed
"CSS3";"CMP4";Directed
"CMP4";"NDA1";Directed
"NDA1";"EDP1";Directed
"EDP1";"FRX2";Directed
"FRX2";"BNJ2";Directed
"BNJ2";"LGT4";Directed
"LGT4";"BCP2";Directed
"BCP2";"PNG2";Directed
"PNG2";"BRB4";Directed
"BRB4";"SR6";Directed
"SR6";"SR5";Directed
"SR5";"FBC2";Directed
"FBC2";"VLC2";Directed
"VLC2";"PQN2";Directed
"PQN2";"RNH2";Directed
"RNH2";"RBD2";Directed
"RBD2";"VRZL2";Directed
"VRZL2";"ARSR1";Directed
"ARSR1";"ARS5";Directed
"ARS5";"ENX2";Directed
"ENX2";"ASP4";Directed
"ASP4";"HSJ12";Directed
"HSJ12";"IPO5";Directed
"IPO5";"ST2";Directed
"ST2";"AML3";Directed
"AML3";"CPU2";Directed
"CPU2";"VNC2";Directed
"VNC2";"MTB2";Directed
"MTB2";"CNG2";Directed
"CNG2";"BRSE2";Directed
"BRSE2";"QTL2";Directed
"QTL2";"AV2";Directed
"AV2";"RSR2";Directed
"RSR2";"SRP2";Directed
"SRP2";"RUL2";Directed
"RUL2";"RAEP3";Directed
"RAEP3";"PREC2";Directed
"PREC2";"AZC3";Directed
"AZC3";"LDD9";Directed
"LDD9";"QTI";Directed
"QTI";"REAL1";Directed
"REAL1";"TVLR1";Directed
"TVLR1";"PQC1";Directed
"PQC1";"DAH1";Directed
"DAH1";"DAFC1";Directed
"DAFC1";"PCID4";Directed
"PCID4";"ETRP2";Directed
"ETRP2";"CQ9";Directed
