Source;Target;Type
"MFZ2";"PRI4";Directed
"PRI4";"2PVC2";Directed
"2PVC2";"JBR2";Directed
"JBR2";"SRVM2";Directed
"SRVM2";"BPTL2";Directed
"BPTL2";"INSA2";Directed
"INSA2";"CMPT2";Directed
"CMPT2";"PT2";Directed
"PT2";"PJUV2";Directed
"PJUV2";"PGM2";Directed
"PGM2";"FLU1";Directed
"FLU1";"STC2";Directed
"STC2";"ALX2";Directed
"ALX2";"LRD2";Directed
"LRD2";"JB2";Directed
"JB2";"CART2";Directed
"CART2";"PLNT2";Directed
"PLNT2";"JM2";Directed
"JM2";"PRG6";Directed
"PRG6";"PAL4";Directed
"PAL4";"HSA";Directed
"HSA";"CORD7";Directed
"CORD7";"SBNT2";Directed
"SBNT2";"LPDZ";Directed
"LPDZ";"BTLH6";Directed
"BTLH6";"SLZ1";Directed
"SLZ1";"DT2";Directed
"DT2";"PRDR2";Directed
"PRDR2";"HER1";Directed
"HER1";"CSS2";Directed
"CSS2";"PBSS1";Directed
"PBSS1";"CMP1";Directed
