Source;Target;Type
TRD4;AL7;Directed
AL7;SBNT;Directed
SBNT;MS2;Directed
MS2;RBR1;Directed
RBR1;ELVG1;Directed
ELVG1;PLU1;Directed
PLU1;CAVE1;Directed
CAVE1;MERC1;Directed
MERC1;LGAJ1;Directed
LGAJ1;CAVE3;Directed
CAVE3;FTN1;Directed
FTN1;VTC1;Directed
VTC1;AGRO1;Directed
AGRO1;AEC1;Directed
AEC1;LGM1;Directed
LGM1;LGEQ1;Directed
LGEQ1;TFL1;Directed
TFL1;MJP1;Directed
MJP1;PRMR1;Directed
PRMR1;LV1;Directed
LV1;COB4;Directed
COB4;AGOM1;Directed
AGOM1;RMT1;Directed
RMT1;QBV1;Directed
QBV1;GDR1;Directed
GDR1;PTD1;Directed
PTD1;RDA1;Directed
RDA1;NVL1;Directed
NVL1;PCTO1;Directed
PCTO1;MNH1;Directed
MNH1;GJ1;Directed
GJ1;AGU1;Directed
AGU1;ISS1;Directed
ISS1;CAB1;Directed
CAB1;SAN1;Directed
SAN1;SNG1;Directed
SNG1;CRST1;Directed
CRST1;ACNT1;Directed
ACNT1;JP1;Directed
JP1;CPNH1;Directed
CPNH1;E109;Directed
E109;VAL1;Directed
VAL1;LEIR;Directed
LEIR;TPEN;Directed
TPEN;SEMR;Directed
SEMR;VALE;Directed
