Source;Target;Type
"RAEP3";"RAEP2";Directed
"RAEP2";"RUL1";Directed
"RUL1";"SRP1";Directed
"SRP1";"BRVS";Directed
"BRVS";"RSR1";Directed
"RSR1";"AV1";Directed
"AV1";"QTL1";Directed
"QTL1";"BRSE1";Directed
"BRSE1";"CNG1";Directed
"CNG1";"MTB1";Directed
"MTB1";"VNC1";Directed
"VNC1";"CPU1";Directed
"CPU1";"AML2";Directed
"AML2";"ST1";Directed
"ST1";"IPO4";Directed
"IPO4";"HSJ9";Directed
"HSJ9";"ASP3";Directed
"ASP3";"ENX1";Directed
"ENX1";"ARS4";Directed
"ARS4";"VRZL1";Directed
"VRZL1";"RBD1";Directed
"RBD1";"RNH1";Directed
"RNH1";"PQN1";Directed
"PQN1";"VLC1";Directed
"VLC1";"FBC1";Directed
"FBC1";"SRGB1";Directed
"SRGB1";"SR2";Directed
"SR2";"TPT1";Directed
"TPT1";"SCT1";Directed
"SCT1";"STBX1";Directed
"STBX1";"OTH1";Directed
"OTH1";"INFS1";Directed
"INFS1";"ASOT1";Directed
"ASOT1";"DAC1";Directed
"DAC1";"CV1";Directed
"CV1";"CB1";Directed
"CB1";"VARZ1";Directed
"VARZ1";"STO1";Directed
"STO1";"STCZ1";Directed
"STCZ1";"STE1";Directed
"STE1";"CMR1";Directed
"CMR1";"VL1";Directed
"VL1";"TAR5";Directed
"TAR5";"VINH1";Directed
"VINH1";"ICPU1";Directed
"ICPU1";"25A1";Directed
"25A1";"CGG";Directed
"CGG";"GODC1";Directed
"GODC1";"BVG1";Directed
"BVG1";"MTCR1";Directed
"MTCR1";"GODS";Directed
