Source;Target;Type
CMP1;PBSS4;Directed
PBSS4;PCC2;Directed
PCC2;BFM4;Directed
BFM4;C24A5;Directed
C24A5;DJOA4;Directed
DJOA4;RFZ1;Directed
RFZ1;MOR2;Directed
MOR2;ESCN2;Directed
ESCN2;SI2;Directed
SI2;AUS;Directed
AUS;MPL7;Directed
MPL7;FG1;Directed
FG1;CONS3;Directed
CONS3;VFM2;Directed
VFM2;SVP1;Directed
SVP1;BVLH1;Directed
BVLH1;NAT1;Directed
NAT1;CVI3;Directed
CVI3;CTS;Directed
CTS;MLAM;Directed
MLAM;PREL4;Directed
PREL4;URBP1;Directed
URBP1;1URBP3;Directed
1URBP3;1PREL1;Directed
1PREL1;RM3;Directed
RM3;JPAZ1;Directed
JPAZ1;VIS3;Directed
VIS3;VIS4;Directed
VIS4;VIS1;Directed
VIS1;JAZ1;Directed
JAZ1;BRVS;Directed
BRVS;RSR1;Directed
RSR1;AV1;Directed
AV1;QTL1;Directed
QTL1;CTV1;Directed
CTV1;BSEE1;Directed
