Source;Target;Type
"BS4";"BCM2";Directed
"BCM2";"GRC1";Directed
"GRC1";"CVI4";Directed
"CVI4";"BRCV";Directed
"BRCV";"MSTO1";Directed
"MSTO1";"RPM1";Directed
"RPM1";"ADA1";Directed
"ADA1";"CI31";Directed
"CI31";"CAM1";Directed
"CAM1";"TLHR1";Directed
"TLHR1";"BLG1";Directed
"BLG1";"AML2";Directed
"AML2";"ST1";Directed
"ST1";"IPO4";Directed
"IPO4";"HSJ8";Directed
"HSJ8";"ASP3";Directed
"ASP3";"ENX1";Directed
"ENX1";"ARSM1";Directed
"ARSM1";"AFEI1";Directed
"AFEI1";"TRI1";Directed
"TRI1";"GIT1";Directed
"GIT1";"CRPO1";Directed
"CRPO1";"FRN1";Directed
"FRN1";"BRO1";Directed
"BRO1";"CORM1";Directed
"CORM1";"CORI1";Directed
"CORI1";"PCUA1";Directed
"PCUA1";"AM1";Directed
"AM1";"AM3";Directed
"AM3";"AVLM2";Directed
"AVLM2";"PML2";Directed
"PML2";"PVH2";Directed
"PVH2";"JDEU3";Directed
"JDEU3";"CRZ1";Directed
"CRZ1";"ERM4";Directed
"ERM4";"BVE1";Directed
"BVE1";"5OTR1";Directed
"5OTR1";"RNF1";Directed
"RNF1";"MARG1";Directed
"MARG1";"CSE1";Directed
"CSE1";"BEL1";Directed
"BEL1";"BOVT1";Directed
"BOVT1";"VLR1";Directed
"VLR1";"MFOT1";Directed
"MFOT1";"PSR1";Directed
"PSR1";"RFND1";Directed
"RFND1";"AHRQ1";Directed
"AHRQ1";"FNT1";Directed
"FNT1";"ALFN2";Directed
"ALFN2";"ALXH1";Directed
"ALXH1";"COD";Directed
