Source;Target;Type
BLAM1;PDR;Directed
PDR;C24A2;Directed
C24A2;BFM2;Directed
BFM2;GDM1;Directed
GDM1;PRF1;Directed
PRF1;A25A1;Directed
A25A1;FVLH1;Directed
FVLH1;EDRG3;Directed
EDRG3;CRJ1;Directed
CRJ1;FSTO1;Directed
FSTO1;FALC;Directed
FALC;CRT2;Directed
CRT2;ESCL;Directed
ESCL;SR2;Directed
SR2;TPT1;Directed
TPT1;SCT1;Directed
SCT1;STBX1;Directed
STBX1;OTH1;Directed
OTH1;INFS1;Directed
INFS1;ASOT1;Directed
ASOT1;DAC1;Directed
DAC1;CV1;Directed
CV1;CB1;Directed
CB1;VARZ1;Directed
VARZ1;STO1;Directed
STO1;STCZ1;Directed
STCZ1;STE1;Directed
STE1;CMR1;Directed
CMR1;VL1;Directed
VL1;TAR5;Directed
TAR5;VINH1;Directed
VINH1;ICPU1;Directed
ICPU1;25A1;Directed
25A1;CGG;Directed
CGG;GODC1;Directed
GODC1;BVG1;Directed
BVG1;MTCR1;Directed
MTCR1;GODS;Directed
