Source;Target;Type
"MPL3";"FG1";Directed
"FG1";"AQL1";Directed
"AQL1";"PISC";Directed
"PISC";"BSB";Directed
"BSB";"BCG";Directed
"BCG";"SPTO1";Directed
"SPTO1";"AVF2";Directed
"AVF2";"FRS";Directed
"FRS";"DSQ";Directed
"DSQ";"CMS3";Directed
"CMS3";"BCM1";Directed
"BCM1";"AGM1";Directed
"AGM1";"ACRD1";Directed
"ACRD1";"BSS1";Directed
"BSS1";"FOCO1";Directed
"FOCO1";"PINM1";Directed
"PINM1";"GC11";Directed
"GC11";"SRV1";Directed
"SRV1";"AALB";Directed
"AALB";"SRVM3";Directed
"SRVM3";"JBR1";Directed
"JBR1";"1PVC1";Directed
"1PVC1";"PRI1";Directed
"PRI1";"MFZ1";Directed
"MFZ1";"LIEG1";Directed
"LIEG1";"CRTO3";Directed
"CRTO3";"MLH5";Directed
"MLH5";"FCH1";Directed
"FCH1";"HMLM3";Directed
"HMLM3";"TIM1";Directed
"TIM1";"CQ10";Directed
