Source;Target;Type
"AAL3";"PRDJ2";Directed
"PRDJ2";"SCAT1";Directed
"SCAT1";"PDR";Directed
"PDR";"C24A1";Directed
"C24A1";"NAVE1";Directed
"NAVE1";"BL4";Directed
"BL4";"ESR1";Directed
"ESR1";"SCRP5";Directed
"SCRP5";"MAV1";Directed
"MAV1";"ANT1";Directed
"ANT1";"RC1";Directed
"RC1";"BRCC1";Directed
"BRCC1";"STJ1";Directed
"STJ1";"RGSM1";Directed
"RGSM1";"ROTA2";Directed
"ROTA2";"VRZL1";Directed
"VRZL1";"RBD1";Directed
"RBD1";"ENV";Directed
"ENV";"CTN1";Directed
"CTN1";"LEV1";Directed
"LEV1";"IGRT2";Directed
"IGRT2";"CHV3";Directed
"CHV3";"HMCH1";Directed
"HMCH1";"CSSO1";Directed
"CSSO1";"URBS1";Directed
"URBS1";"FNZ1";Directed
"FNZ1";"CABN1";Directed
"CABN1";"CB1";Directed
"CB1";"VARZ1";Directed
"VARZ1";"STO1";Directed
"STO1";"STCZ1";Directed
"STCZ1";"STE1";Directed
"STE1";"ESTV1";Directed
"ESTV1";"BRR1";Directed
"BRR1";"ATSR1";Directed
"ATSR1";"BV1";Directed
"BV1";"C301";Directed
"C301";"BH1";Directed
"BH1";"COVH1";Directed
