Source;Target;Type
"HSJ12";"IPO5";Directed
"IPO5";"ST4";Directed
"ST4";"IB2";Directed
"IB2";"ISEP2";Directed
"ISEP2";"AVTE2";Directed
"AVTE2";"TLHR3";Directed
"TLHR3";"MIS4";Directed
"MIS4";"BRA5";Directed
"BRA5";"STLZ2";Directed
"STLZ2";"ASP1";Directed
"ASP1";"PPR2";Directed
"PPR2";"CI22";Directed
"CI22";"HPRL2";Directed
"HPRL2";"CVI2";Directed
"CVI2";"QTAM2";Directed
"QTAM2";"CZV2";Directed
"CZV2";"CMIC2";Directed
"CMIC2";"ICDF1";Directed
"ICDF1";"CDF2";Directed
"CDF2";"FACD";Directed
"FACD";"MATR2";Directed
"MATR2";"MGB2";Directed
"MGB2";"HSA";Directed
"HSA";"CORD7";Directed
"CORD7";"PRL8";Directed
"PRL8";"PRDJ2";Directed
"PRDJ2";"SCAT1";Directed
"SCAT1";"PDR";Directed
"PDR";"C24A2";Directed
"C24A2";"BFM8";Directed
"BFM8";"BL1";Directed
"BL1";"ESR1";Directed
"ESR1";"SCRP5";Directed
"SCRP5";"MAV1";Directed
"MAV1";"AANT4";Directed
"AANT4";"DC2";Directed
"DC2";"SVT1";Directed
"SVT1";"VDAM1";Directed
"VDAM1";"SAL3";Directed
"SAL3";"OUTE3";Directed
"OUTE3";"MLAR1";Directed
"MLAR1";"FEP2";Directed
"FEP2";"FEUP1";Directed
"FEUP1";"ESED1";Directed
"ESED1";"HSJ12";Directed
