Source;Target;Type
AEPT1;PRU2;Directed
PRU2;BRRO4;Directed
BRRO4;ZIND4;Directed
ZIND4;ESTR2;Directed
ESTR2;CRTM2;Directed
CRTM2;SEND2;Directed
SEND2;STLZ4;Directed
STLZ4;QTM1;Directed
QTM1;RAL3;Directed
RAL3;PDM1;Directed
PDM1;PMVA1;Directed
PMVA1;CHC1;Directed
CHC1;GU1;Directed
GU1;GDM11;Directed
GDM11;CCA2;Directed
CCA2;QTAD1;Directed
QTAD1;PIN1;Directed
PIN1;MAII1;Directed
MAII1;JZOO2;Directed
JZOO2;VBR1;Directed
VBR1;MAIA4;Directed
MAIA4;SBO2;Directed
SBO2;LUCM2;Directed
LUCM2;LAGE2;Directed
LAGE2;VSG1;Directed
VSG1;TVAS1;Directed
TVAS1;LVR4;Directed
LVR4;5OTB2;Directed
5OTB2;HB2;Directed
HB2;SM4;Directed
SM4;PDAM4;Directed
PDAM4;GUFS2;Directed
GUFS2;FLO2;Directed
FLO2;GUFE2;Directed
GUFE2;ARCO2;Directed
ARCO2;MTA2;Directed
MTA2;MALM2;Directed
MALM2;AZN2;Directed
AZN2;CNV2;Directed
CNV2;ZOID2;Directed
ZOID2;ASZ4;Directed
ASZ4;SSD2;Directed
SSD2;ESAS2;Directed
ESAS2;LARJ2;Directed
LARJ2;SMM3;Directed
SMM3;MOD2;Directed
MOD2;OG;Directed
OG;DB2;Directed
DB2;ASPL1;Directed
ASPL1;IPO4;Directed
IPO4;HSJ3;Directed
