Source;Target;Type
AEPT1;BRRO4;Directed
BRRO4;ZIND4;Directed
ZIND4;ESTR2;Directed
ESTR2;CRTM2;Directed
CRTM2;SEND2;Directed
SEND2;STLZ4;Directed
STLZ4;RL2;Directed
RL2;PTM2;Directed
PTM2;STL2;Directed
STL2;MGDE2;Directed
MGDE2;MNSO2;Directed
MNSO2;CTIO2;Directed
CTIO2;PTH2;Directed
PTH2;ARJ2;Directed
ARJ2;REAR2;Directed
REAR2;GNOR2;Directed
GNOR2;BVLB2;Directed
BVLB2;GSUL2;Directed
GSUL2;RNOR2;Directed
RNOR2;RBX2;Directed
RBX2;RSUL2;Directed
RSUL2;FAP2;Directed
FAP2;VFR2;Directed
VFR2;PLG2;Directed
PLG2;CSXN2;Directed
CSXN2;FGT2;Directed
FGT2;CSXS2;Directed
CSXS2;MTB4;Directed
MTB4;SRPT2;Directed
SRPT2;PPR2;Directed
PPR2;CI22;Directed
