Source;Target;Type
"CORD3";"CMO";Directed
"CMO";"HSA5";Directed
"HSA5";"PAL3";Directed
"PAL3";"PRG1";Directed
"PRG1";"BS1";Directed
"BS1";"BCM3";Directed
"BCM3";"GRC1";Directed
"GRC1";"CSBV";Directed
"CSBV";"SDP1";Directed
"SDP1";"FZIN1";Directed
"FZIN1";"RAEP1";Directed
"RAEP1";"CONT1";Directed
"CONT1";"HIPD";Directed
"HIPD";"QTC1";Directed
"QTC1";"AEP";Directed
"AEP";"EXP1";Directed
"EXP1";"EXP5";Directed
"EXP5";"REXP1";Directed
"REXP1";"AMR1";Directed
"AMR1";"BAT1";Directed
"BAT1";"ALMG1";Directed
"ALMG1";"MTES1";Directed
"MTES1";"ABMG1";Directed
"ABMG1";"JAS1";Directed
"JAS1";"NOF1";Directed
"NOF1";"31JA1";Directed
"31JA1";"OLV1";Directed
"OLV1";"FRRS3";Directed
"FRRS3";"ROR2";Directed
"ROR2";"FRRS2";Directed
"FRRS2";"TTS2";Directed
"TTS2";"BLD2";Directed
"BLD2";"GTN2";Directed
"GTN2";"STCB2";Directed
"STCB2";"CPOV2";Directed
"CPOV2";"ABX2";Directed
"ABX2";"1PRU1";Directed
"1PRU1";"AEPT1";Directed
