Source;Target;Type
"QBV2";"RMT2";Directed
"RMT2";"LGDM2";Directed
"LGDM2";"COB3";Directed
"COB3";"COB6";Directed
"COB6";"RGR1";Directed
"RGR1";"APRD1";Directed
"APRD1";"MRI1";Directed
"MRI1";"GA1";Directed
"GA1";"DV2";Directed
"DV2";"DVE1";Directed
"DVE1";"DISP2";Directed
"DISP2";"TRBG2";Directed
"TRBG2";"LGAV3";Directed
"LGAV3";"JD2";Directed
"JD2";"CMG1";Directed
"CMG1";"GENT3";Directed
"GENT3";"JMRR2";Directed
"JMRR2";"QSPL2";Directed
"QSPL2";"ESPL2";Directed
"ESPL2";"FNTA";Directed
"FNTA";"DQL";Directed
"DQL";"ALXH3";Directed
"ALXH3";"BTLH1";Directed
"BTLH1";"PRDJ";Directed
"PRDJ";"AAL4";Directed
"AAL4";"TRD1";Directed
"TRD1";"JR";Directed
"JR";"PRSM1";Directed
"PRSM1";"HSM1";Directed
"HSM1";"CONS1";Directed
"CONS1";"CVLO1";Directed
"CVLO1";"IPRN3";Directed
"IPRN3";"CPRN3";Directed
"CPRN3";"FEP2";Directed
"FEP2";"FEUP1";Directed
"FEUP1";"ESED1";Directed
"ESED1";"HSJ12";Directed
"HSJ12";"HSJ6";Directed
