Source;Target;Type
BSEE2;CTV2;Directed
CTV2;QTL2;Directed
QTL2;AV2;Directed
AV2;RSR2;Directed
RSR2;JAZ;Directed
JAZ;VIS4;Directed
VIS4;VIS1;Directed
VIS1;VIS5;Directed
VIS5;JPAZ2;Directed
JPAZ2;RM4;Directed
RM4;2PREL2;Directed
2PREL2;URBP2;Directed
URBP2;PREL5;Directed
PREL5;FR2;Directed
FR2;SOCR;Directed
SOCR;CVI5;Directed
CVI5;NAT2;Directed
NAT2;BVLH3;Directed
BVLH3;SVP2;Directed
SVP2;VFM3;Directed
VFM3;ACN1;Directed
ACN1;CONS2;Directed
CONS2;FG2;Directed
FG2;MPL11;Directed
MPL11;RALG;Directed
RALG;DAM;Directed
DAM;MTT2;Directed
MTT2;MOR3;Directed
MOR3;MRD;Directed
MRD;C24A2;Directed
C24A2;BFM2;Directed
BFM2;PCC1;Directed
PCC1;CMP1;Directed
