Source;Target;Type
"MPL9";"RALG";Directed
"RALG";"CAZ";Directed
"CAZ";"SCR4";Directed
"SCR4";"MAV1";Directed
"MAV1";"AANT3";Directed
"AANT3";"DCVT1";Directed
"DCVT1";"EDRG1";Directed
"EDRG1";"CRJ1";Directed
"CRJ1";"FSTO1";Directed
"FSTO1";"FALC";Directed
"FALC";"CRT2";Directed
"CRT2";"ESCL";Directed
"ESCL";"SR2";Directed
"SR2";"TPT1";Directed
"TPT1";"TMEI1";Directed
"TMEI1";"AAS1";Directed
"AAS1";"VNEM1";Directed
"VNEM1";"MRDR1";Directed
"MRDR1";"PCAR1";Directed
"PCAR1";"PDEH1";Directed
"PDEH1";"TCRZ1";Directed
"TCRZ1";"PTLH";Directed
"PTLH";"OLB1";Directed
"OLB1";"ASOT3";Directed
"ASOT3";"DAC1";Directed
"DAC1";"CV1";Directed
"CV1";"ACV";Directed
