Source;Target;Type
"MATM1";"SP2";Directed
"SP2";"LOTA2";Directed
"LOTA2";"GODH6";Directed
"GODH6";"MTSP2";Directed
"MTSP2";"SAR2";Directed
"SAR2";"PCID2";Directed
"PCID2";"ETRP2";Directed
"ETRP2";"CQ8";Directed
"CQ8";"TIM2";Directed
"TIM2";"HMLM2";Directed
"HMLM2";"MLH2";Directed
"MLH2";"JNN2";Directed
"JNN2";"CRTO4";Directed
"CRTO4";"LIEG2";Directed
"LIEG2";"DIU1";Directed
"DIU1";"MFZ2";Directed
"MFZ2";"UC2";Directed
"UC2";"PCL2";Directed
"PCL2";"TRR4";Directed
"TRR4";"PT2";Directed
"PT2";"PJUV2";Directed
"PJUV2";"PGM2";Directed
"PGM2";"FLU3";Directed
"FLU3";"CRVH1";Directed
"CRVH1";"GAS1";Directed
"GAS1";"SCL1";Directed
"SCL1";"PARR1";Directed
"PARR1";"BIC2";Directed
"BIC2";"MCE2";Directed
"MCE2";"MVP2";Directed
"MVP2";"ALFG2";Directed
"ALFG2";"MRG2";Directed
"MRG2";"RBRI2";Directed
"RBRI2";"MS1";Directed
"MS1";"SBNT3";Directed
"SBNT3";"PRL1";Directed
