Source;Target;Type
HSJ1;ASP3;Directed
ASP3;ENX1;Directed
ENX1;ARSM1;Directed
ARSM1;ARSF3;Directed
ARSF3;HUMB1;Directed
HUMB1;TNG1;Directed
TNG1;PIV1;Directed
PIV1;GLV1;Directed
GLV1;SGMC1;Directed
SGMC1;DDN1;Directed
DDN1;5OUT1;Directed
5OUT1;DCPF1;Directed
DCPF1;SRG1;Directed
SRG1;FMGO1;Directed
FMGO1;GGC1;Directed
GGC1;RGLE1;Directed
RGLE1;PRD1;Directed
PRD1;TRM1;Directed
TRM1;RGLO1;Directed
RGLO1;PMAI1;Directed
PMAI1;AGR1;Directed
AGR1;VESS1;Directed
VESS1;RARR1;Directed
RARR1;RCNH1;Directed
RCNH1;CSAD1;Directed
CSAD1;TESC1;Directed
TESC1;IGMI1;Directed
IGMI1;ARRG1;Directed
ARRG1;QULH1;Directed
QULH1;ARRV1;Directed
ARRV1;PISA1;Directed
PISA1;RCTL1;Directed
RCTL1;ARDG1;Directed
ARDG1;PHIP1;Directed
PHIP1;SAMP1;Directed
SAMP1;TSL1;Directed
TSL1;TVG1;Directed
TVG1;RLC2;Directed
RLC2;RGFT2;Directed
RGFT2;RIGR1;Directed
RIGR1;ERMI1;Directed
ERMI1;ERM2;Directed
