Source;Target;Type
"PREL2";"CPR2";Directed
"CPR2";"MLAM2";Directed
"MLAM2";"CTS2";Directed
"CTS2";"HPRL4";Directed
"HPRL4";"CVI6";Directed
"CVI6";"CSBV1";Directed
"CSBV1";"MRS2";Directed
"MRS2";"CMS1";Directed
"CMS1";"BCM5";Directed
"BCM5";"BVCM3";Directed
"BVCM3";"BS8";Directed
"BS8";"PRG4";Directed
"PRG4";"JM1";Directed
"JM1";"PLNT1";Directed
"PLNT1";"GRJ";Directed
"GRJ";"APT3";Directed
"APT3";"BBL";Directed
"BBL";"LRD3";Directed
"LRD3";"MTRA";Directed
"MTRA";"ASZE1";Directed
"ASZE1";"MASC1";Directed
"MASC1";"PAST1";Directed
