Source;Target;Type
"CMS2";"BCM1";Directed
"BCM1";"AGM1";Directed
"AGM1";"APT1";Directed
"APT1";"CART";Directed
"CART";"JB1";Directed
"JB1";"LRD1";Directed
"LRD1";"ALX1";Directed
"ALX1";"STC1";Directed
"STC1";"FLU4";Directed
"FLU4";"PGM1";Directed
"PGM1";"PJUV1";Directed
"PJUV1";"PT3";Directed
"PT3";"CMPT1";Directed
"CMPT1";"PFOZ1";Directed
"PFOZ1";"ALFK1";Directed
"ALFK1";"CREI1";Directed
"CREI1";"LGO5";Directed
"LGO5";"ABVT2";Directed
"ABVT2";"FTM4";Directed
"FTM4";"LGO2";Directed
"LGO2";"PRCD1";Directed
"PRCD1";"BARO1";Directed
"BARO1";"IGAL1";Directed
"IGAL1";"PDVD3";Directed
"PDVD3";"LDSM1";Directed
"LDSM1";"HMGL2";Directed
"HMGL2";"LDD6";Directed
"LDD6";"PREC1";Directed
"PREC1";"NSHP2";Directed
"NSHP2";"NSHP";Directed
