Source;Target;Type
VALE;AMSE;Directed
AMSE;LEIR2;Directed
LEIR2;COEM;Directed
COEM;VAL;Directed
VAL;CPNH2;Directed
CPNH2;JP2;Directed
JP2;ACNT2;Directed
ACNT2;CRST2;Directed
CRST2;SNG2;Directed
SNG2;SAN2;Directed
SAN2;CAB2;Directed
CAB2;ISS2;Directed
ISS2;AGU2;Directed
AGU2;GJ2;Directed
GJ2;MNH2;Directed
MNH2;PCTO2;Directed
PCTO2;NVL2;Directed
NVL2;PDI2;Directed
PDI2;RDA2;Directed
RDA2;PTD2;Directed
PTD2;GDR2;Directed
GDR2;QBV2;Directed
QBV2;RMT2;Directed
RMT2;LGDM2;Directed
LGDM2;COB3;Directed
COB3;LV2;Directed
LV2;PRMR2;Directed
PRMR2;MJP2;Directed
MJP2;CDL2;Directed
CDL2;LGM2;Directed
LGM2;AEC2;Directed
AEC2;AGRO2;Directed
AGRO2;VTC2;Directed
VTC2;FTN2;Directed
FTN2;CAVE4;Directed
CAVE4;LGAJ2;Directed
LGAJ2;MERC2;Directed
MERC2;CAVE2;Directed
CAVE2;PLU4;Directed
PLU4;ELVG2;Directed
ELVG2;RBR2;Directed
RBR2;MS1;Directed
MS1;SBNT3;Directed
SBNT3;PRDJ2;Directed
PRDJ2;MCBL1;Directed
MCBL1;TRD4;Directed
