Source;Target;Type
"CMS2";"BCM1";Directed
"BCM1";"AGM1";Directed
"AGM1";"ACRD1";Directed
"ACRD1";"BSS3";Directed
"BSS3";"FOCO2";Directed
"FOCO2";"PINM5";Directed
"PINM5";"SJB1";Directed
"SJB1";"IRM1";Directed
"IRM1";"CRM1";Directed
"CRM1";"EFRD2";Directed
"EFRD2";"MPAZ3";Directed
"MPAZ3";"MPAZ4";Directed
"MPAZ4";"MPAZ5";Directed
"MPAZ5";"IMTT1";Directed
"IMTT1";"VIS2";Directed
"VIS2";"VIS1";Directed
"VIS1";"JAZ1";Directed
"JAZ1";"SETB1";Directed
"SETB1";"SRP3";Directed
"SRP3";"RSR3";Directed
"RSR3";"QCM3";Directed
"QCM3";"LND1";Directed
"LND1";"CSSH1";Directed
"CSSH1";"VGM3";Directed
"VGM3";"RLG3";Directed
"RLG3";"FTCC5";Directed
"FTCC5";"TPM1";Directed
"TPM1";"PSSM1";Directed
"PSSM1";"GUIF1";Directed
"GUIF1";"MN1";Directed
"MN1";"MP1";Directed
"MP1";"RDAG1";Directed
"RDAG1";"RGDU";Directed
"RGDU";"RBO1";Directed
"RBO1";"ABL1";Directed
"ABL1";"LMB1";Directed
"LMB1";"PCRR1";Directed
"PCRR1";"LMBG1";Directed
"LMBG1";"RFER1";Directed
"RFER1";"RBHR1";Directed
"RBHR1";"RPPC1";Directed
"RPPC1";"GATS1";Directed
