Source;Target;Type
"AAL4";"TRD4";Directed
"TRD4";"AL7";Directed
"AL7";"GGF";Directed
"GGF";"CMO";Directed
"CMO";"HSA5";Directed
"HSA5";"PAL2";Directed
"PAL2";"PRG3";Directed
"PRG3";"JM1";Directed
"JM1";"GGT3";Directed
"GGT3";"CHAS3";Directed
"CHAS3";"JA1";Directed
"JA1";"ARRB3";Directed
"ARRB3";"CCB1";Directed
"CCB1";"28J1";Directed
"28J1";"EC";Directed
"EC";"LGM1";Directed
"LGM1";"LGEQ1";Directed
"LGEQ1";"TFL1";Directed
"TFL1";"MJP1";Directed
"MJP1";"PRMR1";Directed
"PRMR1";"LV1";Directed
"LV1";"COB6";Directed
"COB6";"RGR1";Directed
"RGR1";"APRD1";Directed
"APRD1";"RFON1";Directed
"RFON1";"HRC1";Directed
"HRC1";"AKI1";Directed
"AKI1";"MAKR3";Directed
"MAKR3";"GSHP1";Directed
"GSHP1";"TELH1";Directed
"TELH1";"INFH1";Directed
"INFH1";"SRRS1";Directed
"SRRS1";"CSSR1";Directed
"CSSR1";"LGET1";Directed
"LGET1";"SO1";Directed
