Source;Target;Type
"MATM1";"SP2";Directed
"SP2";"LOTA2";Directed
"LOTA2";"GODH6";Directed
"GODH6";"MTSP2";Directed
"MTSP2";"SAR2";Directed
"SAR2";"PCID2";Directed
"PCID2";"ETRP2";Directed
"ETRP2";"CQ8";Directed
"CQ8";"CQ3";Directed
"CQ3";"MAL3";Directed
"MAL3";"NEV3";Directed
"NEV3";"PRCD4";Directed
"PRCD4";"LGO3";Directed
"LGO3";"FTM5";Directed
"FTM5";"PNV3";Directed
"PNV3";"GC2";Directed
"GC2";"PINM3";Directed
"PINM3";"FOCO3";Directed
"FOCO3";"BSS2";Directed
"BSS2";"ACRD2";Directed
"ACRD2";"AGM2";Directed
"AGM2";"BVCM3";Directed
"BVCM3";"BVBR1";Directed
"BVBR1";"HML2";Directed
"HML2";"ICDF1";Directed
"ICDF1";"CDF1";Directed
"CDF1";"PRR7";Directed
"PRR7";"JN4";Directed
"JN4";"BLRB2";Directed
