Source;Target;Type
RFAR1;DTR;Directed
DTR;LIEG1;Directed
LIEG1;CRTO3;Directed
CRTO3;MLH5;Directed
MLH5;NEVG1;Directed
NEVG1;LNEV1;Directed
LNEV1;RCRT1;Directed
RCRT1;LGO5;Directed
LGO5;ABVT2;Directed
ABVT2;FTM1;Directed
FTM1;BRV4;Directed
BRV4;BRP2;Directed
BRP2;ABM2;Directed
ABM2;SJB2;Directed
SJB2;SJBC2;Directed
SJBC2;ABSS2;Directed
ABSS2;RBSS2;Directed
RBSS2;SDP2;Directed
SDP2;MRS2;Directed
MRS2;BCM4;Directed
BCM4;BVBR1;Directed
BVBR1;HML2;Directed
HML2;ICDF1;Directed
ICDF1;CDF1;Directed
CDF1;PRR7;Directed
PRR7;TRD5;Directed
TRD5;AAL1;Directed
AAL1;AAL4;Directed
