Source;Target;Type
"AL1";"TRD6";Directed
"TRD6";"PRFL";Directed
"PRFL";"GGF";Directed
"GGF";"CMO";Directed
"CMO";"HSA5";Directed
"HSA5";"PAL3";Directed
"PAL3";"PRG1";Directed
"PRG1";"BS1";Directed
"BS1";"BCM1";Directed
"BCM1";"AGM1";Directed
"AGM1";"ACRD1";Directed
"ACRD1";"BSS1";Directed
"BSS1";"FOCO1";Directed
"FOCO1";"PINM1";Directed
"PINM1";"GC1";Directed
"GC1";"PNV2";Directed
"PNV2";"FTM1";Directed
"FTM1";"BRV1";Directed
"BRV1";"LDD1";Directed
"LDD1";"PRO1";Directed
"PRO1";"EZC1";Directed
"EZC1";"MPAZ5";Directed
"MPAZ5";"IMTT1";Directed
"IMTT1";"VIS5";Directed
"VIS5";"VIS3";Directed
