Source;Target;Type
"FNTL1";"ACD1";Directed
"ACD1";"BRTC5";Directed
"BRTC5";"SAR2";Directed
"SAR2";"PCID2";Directed
"PCID2";"ETRP2";Directed
"ETRP2";"CQ8";Directed
"CQ8";"TIM2";Directed
"TIM2";"HMLM2";Directed
"HMLM2";"MLH2";Directed
"MLH2";"CRTO2";Directed
"CRTO2";"PGON2";Directed
"PGON2";"PING3";Directed
"PING3";"SRLZ1";Directed
"SRLZ1";"PING1";Directed
"PING1";"MFZ2";Directed
"MFZ2";"UC2";Directed
"UC2";"PCL2";Directed
"PCL2";"TRR4";Directed
"TRR4";"PT2";Directed
"PT2";"PG2";Directed
"PG2";"FLUN2";Directed
"FLUN2";"PLM2";Directed
"PLM2";"LRD2";Directed
"LRD2";"JB2";Directed
"JB2";"CART2";Directed
"CART2";"PLNT2";Directed
"PLNT2";"JM2";Directed
"JM2";"PRG6";Directed
"PRG6";"VILR";Directed
"VILR";"DPV2";Directed
"DPV2";"SMAI2";Directed
"SMAI2";"MCE2";Directed
"MCE2";"MVP2";Directed
"MVP2";"ALFG2";Directed
"ALFG2";"MRG2";Directed
"MRG2";"RBRI2";Directed
"RBRI2";"MS1";Directed
"MS1";"SBNT3";Directed
"SBNT3";"AAL9";Directed
