Source;Target;Type
"AAL2";"CMS3";Directed
"CMS3";"TRD1";Directed
"TRD1";"GRC1";Directed
"GRC1";"CSBV";Directed
"CSBV";"GCRT1";Directed
"GCRT1";"PRR3";Directed
"PRR3";"SDP1";Directed
"SDP1";"QTC1";Directed
"QTC1";"LAPA1";Directed
"LAPA1";"AEP";Directed
"AEP";"HSM3";Directed
"HSM3";"EXP1";Directed
"EXP1";"CONS3";Directed
"CONS3";"VFM7";Directed
"VFM7";"CSP1";Directed
"CSP1";"ADA4";Directed
"ADA4";"CI31";Directed
"CI31";"CAM1";Directed
"CAM1";"TLHR1";Directed
"TLHR1";"BLG1";Directed
"BLG1";"AML1";Directed
"AML1";"TLHO1";Directed
"TLHO1";"FLOS1";Directed
"FLOS1";"SMMM1";Directed
"SMMM1";"SMM1";Directed
"SMM1";"SM1";Directed
"SM1";"CSSM1";Directed
"CSSM1";"ASZ3";Directed
"ASZ3";"ASZ1";Directed
"ASZ1";"PP1";Directed
"PP1";"PMQ1";Directed
"PMQ1";"CCB";Directed
"CCB";"STN1";Directed
"STN1";"SRSD1";Directed
"SRSD1";"AAX1";Directed
"AAX1";"CTSS1";Directed
"CTSS1";"CBN1";Directed
"CBN1";"LVR1";Directed
"LVR1";"SL2";Directed
"SL2";"IMAI1";Directed
"IMAI1";"MAIA3";Directed
