Source;Target;Type
"HSJ11";"IPO5";Directed
"IPO5";"ST2";Directed
"ST2";"AML3";Directed
"AML3";"TLHO1";Directed
"TLHO1";"FLOS1";Directed
"FLOS1";"SMMM1";Directed
"SMMM1";"SMM1";Directed
"SMM1";"SM5";Directed
"SM5";"VLR5";Directed
"VLR5";"PDV3";Directed
"PDV3";"MOIN3";Directed
"MOIN3";"MAIN3";Directed
"MAIN3";"ART7";Directed
"ART7";"QRS1";Directed
"QRS1";"RMST3";Directed
"RMST3";"TMPR1";Directed
"TMPR1";"LGCP1";Directed
"LGCP1";"CCRN1";Directed
"CCRN1";"CEMT1";Directed
"CEMT1";"MTLB1";Directed
"MTLB1";"LION1";Directed
"LION1";"EZC3";Directed
"EZC3";"GSUL2";Directed
"GSUL2";"EPC1";Directed
"EPC1";"DBT1";Directed
"DBT1";"CUS3";Directed
"CUS3";"CUSF1";Directed
"CUSF1";"RGT1";Directed
"RGT1";"CRMT1";Directed
"CRMT1";"CSTM1";Directed
"CSTM1";"MP3";Directed
"MP3";"1SGZ1";Directed
"1SGZ1";"TPM1";Directed
"TPM1";"PSSM1";Directed
"PSSM1";"GUIF1";Directed
"GUIF1";"TOR1";Directed
"TOR1";"SARI1";Directed
"SARI1";"MTCT1";Directed
"MTCT1";"PAUS1";Directed
"PAUS1";"LIN1";Directed
"LIN1";"RGDI5";Directed
"RGDI5";"SDMC4";Directed
"SDMC4";"SER2";Directed
"SER2";"HMT1";Directed
"HMT1";"GOA1";Directed
"GOA1";"ALFC1";Directed
"ALFC1";"MATI";Directed
"MATI";"SMAT3";Directed
"SMAT3";"SP4";Directed
"SP4";"MATM1";Directed
