Source;Target;Type
LCP1;HMBC2;Directed
HMBC2;SOLP2;Directed
SOLP2;PCVL2;Directed
PCVL2;IGRL2;Directed
IGRL2;NP2;Directed
NP2;DDA2;Directed
DDA2;OL2;Directed
OL2;PLE;Directed
PLE;FZL2;Directed
FZL2;APDL2;Directed
APDL2;FSCA2;Directed
FSCA2;FTV2;Directed
FTV2;PMV2;Directed
PMV2;QSTG2;Directed
QSTG2;C62;Directed
C62;AEP;Directed
AEP;EXP1;Directed
EXP1;EXP5;Directed
EXP5;PTLS3;Directed
PTLS3;SMAT2;Directed
SMAT2;MATM3;Directed
MATM3;PDZ2;Directed
PDZ2;GODH4;Directed
GODH4;PQBT4;Directed
PQBT4;MATC2;Directed
MATC2;CRV2;Directed
CRV2;DNAP4;Directed
DNAP4;ESGZ2;Directed
ESGZ2;PREA2;Directed
PREA2;QSEC2;Directed
QSEC2;HSPH2;Directed
HSPH2;AZC2;Directed
AZC2;RAEP4;Directed
RAEP4;RBSS2;Directed
RBSS2;SDP2;Directed
SDP2;MRS2;Directed
MRS2;CMS4;Directed
CMS4;BCM5;Directed
BCM5;BS2;Directed
BS2;PRG2;Directed
PRG2;PAL5;Directed
PAL5;HSA1;Directed
HSA1;CORD3;Directed
