Source;Target;Type
"MPL1";"CONS1";Directed
"CONS1";"CVLO1";Directed
"CVLO1";"IPRN1";Directed
"IPRN1";"ISEP3";Directed
"ISEP3";"ISEP1";Directed
"ISEP1";"IB3";Directed
"IB3";"ST3";Directed
"ST3";"IPO4";Directed
"IPO4";"HSJ7";Directed
"HSJ7";"ASP3";Directed
"ASP3";"JFPD1";Directed
"JFPD1";"PDB1";Directed
"PDB1";"PDCM1";Directed
"PDCM1";"CUTM1";Directed
"CUTM1";"TEIB1";Directed
"TEIB1";"BOIM1";Directed
"BOIM1";"CMEI1";Directed
"CMEI1";"RPAC1";Directed
"RPAC1";"PRD1";Directed
"PRD1";"TRM1";Directed
"TRM1";"RGLO1";Directed
"RGLO1";"PMAI1";Directed
"PMAI1";"AGR1";Directed
"AGR1";"AGR4";Directed
"AGR4";"MTD2";Directed
"MTD2";"FLO3";Directed
"FLO3";"GUFS1";Directed
"GUFS1";"PDAM1";Directed
"PDAM1";"MFP1";Directed
"MFP1";"PND3";Directed
"PND3";"ENXN3";Directed
"ENXN3";"LMG2";Directed
"LMG2";"CMGS2";Directed
"CMGS2";"CVC2";Directed
"CVC2";"PCB2";Directed
"PCB2";"RAL2";Directed
"RAL2";"SCND2";Directed
"SCND2";"MANH1";Directed
"MANH1";"MCAU4";Directed
"MCAU4";"JCT1";Directed
"JCT1";"QNV1";Directed
"QNV1";"DMAN1";Directed
"DMAN1";"SOUT1";Directed
"SOUT1";"OUTE1";Directed
"OUTE1";"TMQ1";Directed
"TMQ1";"VRM1";Directed
"VRM1";"ANTZ1";Directed
"ANTZ1";"PLC1";Directed
"PLC1";"AMRQ3";Directed
"AMRQ3";"ALT1";Directed
"ALT1";"MAIE2";Directed
"MAIE2";"SBO1";Directed
"SBO1";"MAIA";Directed
"MAIA";"VBR2";Directed
"VBR2";"JZOO1";Directed
"JZOO1";"MAIZ";Directed
