Source;Target;Type
"AAL4";"TRD1";Directed
"TRD1";"GCRT1";Directed
"GCRT1";"PRR1";Directed
"PRR1";"FIG";Directed
"FIG";"CVA1";Directed
"CVA1";"HML1";Directed
"HML1";"BVBR2";Directed
"BVBR2";"BCM3";Directed
"BCM3";"GRC1";Directed
"GRC1";"CSBV";Directed
"CSBV";"SDP1";Directed
"SDP1";"ABSS1";Directed
"ABSS1";"SJBC1";Directed
"SJBC1";"SJB1";Directed
"SJB1";"ABM1";Directed
"ABM1";"BRP1";Directed
"BRP1";"BRV3";Directed
"BRV3";"FTM2";Directed
"FTM2";"ABVT1";Directed
"ABVT1";"LGO4";Directed
"LGO4";"RCRT2";Directed
"RCRT2";"LNEV2";Directed
"LNEV2";"NEVG";Directed
"NEVG";"MLH3";Directed
"MLH3";"JNN2";Directed
"JNN2";"CRTO4";Directed
"CRTO4";"PING3";Directed
"PING3";"PORI2";Directed
"PORI2";"PASS1";Directed
