Source;Target;Type
"SONH";"PINH2";Directed
"PINH2";"5OTR2";Directed
"5OTR2";"BVE2";Directed
"BVE2";"ERMI2";Directed
"ERMI2";"ERM3";Directed
"ERM3";"CRZ2";Directed
"CRZ2";"PTCR2";Directed
"PTCR2";"SBR2";Directed
"SBR2";"CGK2";Directed
"CGK2";"CNSL2";Directed
"CNSL2";"AM2";Directed
"AM2";"PCUA2";Directed
"PCUA2";"CORI2";Directed
"CORI2";"CCOR";Directed
"CCOR";"CORM2";Directed
"CORM2";"BRO2";Directed
"BRO2";"SGM";Directed
"SGM";"FRN2";Directed
"FRN2";"CRPO2";Directed
"CRPO2";"GIT2";Directed
"GIT2";"TRI2";Directed
"TRI2";"AFEI2";Directed
"AFEI2";"ARSM2";Directed
"ARSM2";"ARS3";Directed
"ARS3";"AA2";Directed
"AA2";"ACO2";Directed
"ACO2";"STJ3";Directed
"STJ3";"BRRS2";Directed
"BRRS2";"CF2";Directed
"CF2";"LW2";Directed
"LW2";"SVT4";Directed
"SVT4";"PLIM2";Directed
"PLIM2";"COMB2";Directed
"COMB2";"PSOC2";Directed
"PSOC2";"FG1";Directed
"FG1";"HSM";Directed
"HSM";"PRSM2";Directed
"PRSM2";"GCRT2";Directed
"GCRT2";"TRD5";Directed
"TRD5";"AAL3";Directed
"AAL3";"GGF1";Directed
"GGF1";"CMO";Directed
"CMO";"CORD2";Directed
