Source;Target;Type
GODS;MTCR2;Directed
MTCR2;BVG2;Directed
BVG2;25A2;Directed
25A2;ICPU2;Directed
ICPU2;VINH2;Directed
VINH2;TAR6;Directed
TAR6;VL2;Directed
VL2;CMR2;Directed
CMR2;STE2;Directed
STE2;STCZ2;Directed
STCZ2;STO2;Directed
STO2;VARZ2;Directed
VARZ2;CB2;Directed
CB2;CV2;Directed
CV2;DAC2;Directed
DAC2;ASOT2;Directed
ASOT2;INFS2;Directed
INFS2;OTH2;Directed
OTH2;STBX2;Directed
STBX2;SCT2;Directed
SCT2;MEIR;Directed
MEIR;SR4;Directed
SR4;SRGB3;Directed
SRGB3;ILH2;Directed
ILH2;CRT;Directed
CRT;CHOL2;Directed
CHOL2;CRJ2;Directed
CRJ2;EDRG4;Directed
EDRG4;FVLH2;Directed
FVLH2;CSC;Directed
CSC;PRF2;Directed
PRF2;EIR3;Directed
EIR3;BFM4;Directed
BFM4;C24A5;Directed
C24A5;DJOA4;Directed
DJOA4;BLM;Directed
BLM;BLAM1;Directed
