Source;Target;Type
"COVH4";"BH2";Directed
"BH2";"C302";Directed
"C302";"BV2";Directed
"BV2";"ATSR2";Directed
"ATSR2";"BRR2";Directed
"BRR2";"ESTV2";Directed
"ESTV2";"STE5";Directed
"STE5";"STCZ2";Directed
"STCZ2";"STO2";Directed
"STO2";"VARZ2";Directed
"VARZ2";"CB2";Directed
"CB2";"CABN2";Directed
"CABN2";"FNZ2";Directed
"FNZ2";"URBS2";Directed
"URBS2";"CSSO2";Directed
"CSSO2";"HMCH2";Directed
"HMCH2";"CHV4";Directed
"CHV4";"IGRT3";Directed
"IGRT3";"LEV2";Directed
"LEV2";"CTN2";Directed
"CTN2";"ENV2";Directed
"ENV2";"RBD2";Directed
"RBD2";"VRZL2";Directed
"VRZL2";"ARSR1";Directed
"ARSR1";"RGSM2";Directed
"RGSM2";"STJ4";Directed
"STJ4";"BRCC2";Directed
"BRCC2";"RCON";Directed
"RCON";"ANT2";Directed
"ANT2";"MAV2";Directed
"MAV2";"SCRP6";Directed
"SCRP6";"ESR2";Directed
"ESR2";"BL2";Directed
"BL2";"NAVE2";Directed
"NAVE2";"C24A3";Directed
"C24A3";"DJOA4";Directed
"DJOA4";"BLM";Directed
"BLM";"TRD3";Directed
"TRD3";"AAL3";Directed
