Source;Target;Type
"MATM1";"MATM3";Directed
"MATM3";"PDZ2";Directed
"PDZ2";"GODH4";Directed
"GODH4";"PQBT4";Directed
"PQBT4";"MATC2";Directed
"MATC2";"CRV2";Directed
"CRV2";"DNAP4";Directed
"DNAP4";"ESGZ2";Directed
"ESGZ2";"PREA2";Directed
"PREA2";"QSEC2";Directed
"QSEC2";"HSPH2";Directed
"HSPH2";"AZC2";Directed
"AZC2";"RAEP4";Directed
"RAEP4";"EZC2";Directed
"EZC2";"PRO2";Directed
"PRO2";"ANTG2";Directed
"ANTG2";"BRCP2";Directed
"BRCP2";"CSR2";Directed
"CSR2";"BRRM2";Directed
"BRRM2";"CRM2";Directed
"CRM2";"SJBC3";Directed
"SJBC3";"ABSS2";Directed
"ABSS2";"RBSS2";Directed
"RBSS2";"SDP2";Directed
"SDP2";"MRS2";Directed
"MRS2";"BVCM3";Directed
"BVCM3";"BS2";Directed
"BS2";"PRG2";Directed
"PRG2";"PAL4";Directed
"PAL4";"HSA";Directed
"HSA";"CORD4";Directed
"CORD4";"AAL4";Directed
"AAL4";"TRD4";Directed
"TRD4";"AL7";Directed
