Source;Target;Type
"AEPT1";"PRU2";Directed
"PRU2";"BRRO2";Directed
"BRRO2";"TLHA2";Directed
"TLHA2";"JMR";Directed
"JMR";"FRXI6";Directed
"FRXI6";"OLV2";Directed
"OLV2";"31JA2";Directed
"31JA2";"NOF2";Directed
"NOF2";"JAS2";Directed
"JAS2";"ABMG2";Directed
"ABMG2";"MTES2";Directed
"MTES2";"ALMG2";Directed
"ALMG2";"BAT2";Directed
"BAT2";"AMR2";Directed
"AMR2";"REXP2";Directed
"REXP2";"EXP6";Directed
"EXP6";"EXP2";Directed
"EXP2";"AEP1";Directed
"AEP1";"QTC2";Directed
"QTC2";"CONT2";Directed
"CONT2";"RAEP4";Directed
"RAEP4";"RBSS2";Directed
"RBSS2";"SDP2";Directed
"SDP2";"MRS2";Directed
"MRS2";"BCM4";Directed
"BCM4";"BS2";Directed
"BS2";"PRG2";Directed
"PRG2";"PAL5";Directed
"PAL5";"HSA1";Directed
"HSA1";"CORD3";Directed
