name,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
RESTAURAÇÃO,91,0.0243864698,0.0296172206,34635.5
D.JOÃO II (METRO),91,0.0247021944,0.0315899149,91999.2859649124
CLUBE CAÇADORES,91,0.0247077993,0.0310298399,17347
TV. MATAS,91,0.0244265344,0.0293330546,24308.1666666667
SR.  MATOSINHOS,91,0.0263553965,0.0347585944,4678
PÊRO VAZ CAMINHA,91,0.0257520548,0.034031548,33048.5833333333
TV. DE ARDEGÃES,91,0.0189432184,0.0219312721,27454.2857142857
CERCO DO PORTO,91,0.0215327021,0.0257844484,15354
BERNARDIM RIBEIRO,91,0.0232400389,0.027881172,40266
MAIA (CAMARA),91,0.0195907814,0.0237018793,137578.714285714
BELA,91,0.018966096,0.0220684817,1582
MARIANI,91,0.0238654088,0.0278584425,51500.6140350877
MARIANI,91,0.0249327638,0.0305867745,51205.7027863776
IGREJA DA FOZ,91,0.0251285889,0.0318148517,9468
PARQUE DE REAL,91,0.0243318769,0.0320970094,164525.191391941
FACULDADE DE ECONOMIA,91,0.0243039061,0.0287911882,1586
CAMÉLIAS,91,0.0193400336,0.0234864736,76050
MAIASHOPPING,90,0.019710841,0.0241357773,76089
LAGARTEIRO,90,0.0231478762,0.0277406633,23138.8166666667
STO. OVÍDIO,90,0.0253176758,0.032595861,109424.285964912
S. PEDRO,90,0.0270650867,0.036609672,39413.0349206349
S.PEDRO,90,0.0270641572,0.0366007977,4717
PRAIA DOS INGLESES,90,0.025749951,0.033070024,7782.75
CRASTO,90,0.0263898192,0.034470963,73644.2990196079
ABADE MONDEGO,90,0.024992071,0.0295741534,61809
R. DAS MATAS,90,0.0250218306,0.0302952467,24347.1666666667
R. DAS MATAS,90,0.0250210227,0.030291134,1577
ARCO DO PRADO,90,0.0255557898,0.031718231,51244.7027863777
ARCO DO PRADO,90,0.0255570861,0.0317157323,0
GUEDES AMORIM,90,0.0244356239,0.0285941026,51539.6140350877
PASSEIO ALEGRE,90,0.0257599765,0.0330913282,11039
PR. CID. SALVADOR,90,0.0250341519,0.0327477942,41292.9492063492
REGEDOURA,90,0.0208771026,0.0245636398,4740
C.SAÚDE DE ERMESINDE,90,0.0193205426,0.0224991948,3162
GOMES AZURARA,90,0.0237818588,0.0286680577,40305
ARDEGÃES,90,0.0196396082,0.0227984175,10731
ARDEGÃES,90,0.0192974078,0.0223402274,27493.2857142857
ARDEGÃES,90,0.0192976441,0.0223404763,11004
E. SEC. G. ZARCO,90,0.0249248774,0.0336158995,164564.191391941
ERMIDA,90,0.0193205426,0.0224991948,0
PEDRAS SALGADAS,90,0.02199612,0.0264506775,15393
PONTE ARRÁBIDA,90,0.0250059425,0.0304305682,0
UNIV. CATÓLICA,90,0.0264199021,0.035776575,58730.7666666667
PALMILHEIRA,90,0.0194469466,0.0235509286,64011
1º DE DEZEMBRO,90,0.0249079386,0.029477632,37260.2333333334
1º DE DEZEMBRO,90,0.0270636924,0.0365950293,119698.647619048
MANUEL LARANJEIRA,90,0.0248935936,0.0296912646,3170
CALOUSTE GULBENKIAN,90,0.0194537189,0.023551437,0
VILARINHO FREIRES,90,0.0256119857,0.0306498648,0
PAUS,90,0.0208877285,0.024581827,64364
PEDRO HISPANO,90,0.0197340412,0.024426073,49258
PR. DO IMPÉRIO,90,0.0244739498,0.029656424,12690
PR. DO IMPÉRIO,90,0.0264221168,0.0357829202,33087.5833333333
R. AZEVEDO,90,0.0231482161,0.0277411397,41604.2833333333
ALTO DA AREOSA,90,0.0214319712,0.026278135,42612.3636363636
TRIANA,90,0.0206873015,0.0252803348,82217.75
SOBREIRO,90,0.0199663005,0.0247189941,137617.714285714
ENTRE QUINTAS,90,0.0249896933,0.0307473574,34674.5
MUSEU VINHO PORTO,90,0.0249857315,0.0306940366,1023
GODIM,90,0.0220886067,0.0270567034,38407.1
PR. DE LIÉGE,89,0.0270985935,0.0361971964,73683.2990196079
S. PEDRO,89,0.0263474656,0.0341058984,25412.4888888889
GODINHO,89,0.0255309498,0.0303385484,37299.2333333333
MERCADO DA FOZ,89,0.02712798,0.0383164321,93433.3499999999
GIESTA,89,0.0211158154,0.0260379364,82256.75
MONTE CASTELO,89,0.0213174625,0.0251671889,64403
PÊRO VAZ CAMINHA,89,0.025078769,0.0306779438,12729
D. NUNO A. PEREIRA,89,0.0255475044,0.0356648327,164603.191391941
PADRÃO DA LÉGUA,89,0.0262685972,0.0316016318,1582
R.CRISTAL,89,0.0200205795,0.0232517509,10770
MUSEU C. ELÉCTRICO,89,0.0256235164,0.0322988655,37312.5
ARDEGÃES,89,0.0200187994,0.0232501322,37029
LUIS CAMÕES,89,0.0202061644,0.0234787986,123814.714285714
MATOSINHOS MERCADO,89,0.0278120919,0.0392380389,167019.682539683
VILA NOVA FOZ CÔA,89,0.0224799235,0.0271682847,15432
SOUSA AROSO,89,0.0256723517,0.0346003726,41331.9492063492
SENHORA DA LUZ,89,0.0264243318,0.0346185317,20437.75
PAVILHÃO CPN,89,0.0198226527,0.024219348,64050
DIU/TEATRO,89,0.0274459266,0.0378865072,61696.05
DEVESAS,89,0.0250337543,0.0293786712,51578.6140350877
REGUINHO D ÁGUA,89,0.0213087543,0.0251527119,6316
PR. DAS FLORES,89,0.02257912,0.0278782707,38446.1
AREOSA,89,0.0218855453,0.0271800562,42651.3636363636
L. ESTEVÃO TORRES,89,0.0258098326,0.0319488065,68167.2859649123
MONTE ESPINHO,89,0.0256064471,0.0304361906,61848
RODRIGUES FREITAS,89,0.0200961453,0.0249219687,76128
PEDRO HISPANO,89,0.0196650945,0.0227684682,40112.2857142857
BRITO CAPELO,89,0.0255338453,0.0303419132,8619.6
BICALHO,89,0.0256310238,0.0315675208,1577
PADRE ANTÓNIO PORTO,89,0.0200531895,0.0233112081,0
CEMITÉRIO STA. MARINHA,89,0.0262107504,0.0330719468,52860.7027863776
SAIBREIRAS,89,0.0198271096,0.0242191966,1578
OUTEIRO,89,0.0255129981,0.0308593853,4752
SONHOS,89,0.0196887189,0.0229549806,0
L. DOMINGOS MATOS,89,0.0256468674,0.031420502,27540.1666666667
CONDE D.PEDRO,89,0.0243495458,0.0295178943,40344
BONJÓIA,89,0.0236839337,0.0289159957,66358.1
MARGINAL,89,0.0196887189,0.0229549806,4740
SOUTINHO,89,0.0196887189,0.0229549806,1580
PRAIA DOS INGLESES,88,0.0271349862,0.0367034182,20476.75
C. SAÚDE S. REIS,88,0.0264882853,0.0332813501,68206.2859649123
CRESPO,88,0.0215624572,0.0269424464,82295.75
ALAMEDA DAS ANTAS,88,0.0230888687,0.0287854829,66003.5666666666
SAMPAIO,88,0.0200470648,0.0232175181,40151.2857142857
STO. OVÍDIO,88,0.0249449975,0.0304414022,40383
PR. DE LIÉGE,88,0.0264807191,0.0342835823,51161.8833333333
PINHEIRO,88,0.0200714386,0.0234398869,1579
SENHORA DA HORA (METRO),88,0.0204506868,0.0237973578,1590
AV. 25 DE ABRIL,88,0.0230919134,0.0287936644,38485.1
LOTA,88,0.0270539362,0.0357283125,25451.4888888888
SARILHOS,88,0.0217652502,0.0258009057,64442
PISÃO,88,0.0204166235,0.0237283358,10809
FOZ,88,0.0278400961,0.0382632294,42972.5666666667
R.NOVA DA FONTE,88,0.0200714386,0.0234398869,6316
LIDADOR / M. MONIZ,88,0.0261442245,0.0313781737,20926.13940961
MUSEU C. ELÉTRICO,88,0.0262885738,0.0330828408,37429.5
GUERRA JUNQUEIRO,88,0.0255553754,0.0309708562,16778.1111111111
DEVESAS (ESTAÇÃO),88,0.0256619012,0.030217755,51617.6140350877
FONTE LUMINOSA,88,0.0256235164,0.0337547269,57807.2604395602
JOÃO BARROS,88,0.0257142391,0.031875197,12768
COIMBRÕES,88,0.0263039306,0.0329294193,27579.1666666667
ERMESINDE (IGREJA),88,0.020217291,0.0250163477,0
DIU,88,0.0278464909,0.0385381871,73722.2990196079
FONTE,88,0.0200714386,0.0234398869,3158
JOÃO DE DEUS,88,0.0202131616,0.0250175108,64089
C. SEIXO (NORTE),88,0.0269601992,0.0326315555,3162
PQ BASÍLIO TELES,88,0.0261859267,0.031265366,47533.8333333333
SALGUEIROS,88,0.0261478959,0.0311649039,6328
D.JOÃO I,88,0.0250154759,0.0328224474,25169.3333333333
SENHOR MATOSINHOS,88,0.0262029063,0.0313378144,122396.415873016
PORTO CARREIRO,88,0.020215357,0.025017113,3154
PRAIA DA LUZ,88,0.0237192222,0.0294625721,20584.7
QUINTA DE BONJÓIA,88,0.0242051912,0.0285504963,61783.1
MONTE DOS PIPOS,88,0.0217589145,0.025790639,7890
TV.ARDEGÃES,88,0.0204150367,0.0237269231,37068
B.V. COIMBRÕES,88,0.0269001656,0.0349243128,52899.7027863776
R. CERCO DO PORTO,88,0.0229854882,0.0279459401,15471
RIO LEÇA,88,0.0204968136,0.0260636883,76167
AREOSA (MERCADO),88,0.0223587328,0.0284460777,112380.363636364
LAGE,88,0.0206058863,0.0239783032,123853.714285714
ALMEIRIGA,88,0.0262517907,0.0313667961,61887
PR. DA CORUJEIRA,88,0.0230550923,0.0283466223,6138
TV. SIMÕES LOPES,87,0.0204441677,0.0236890834,40190.2857142857
AFONSO CORDEIRO,87,0.0262951531,0.035539012,57846.2604395602
TRAVESSA DE BONJÓIA,87,0.0247919583,0.0293507216,61822.1
PINHAL,87,0.0208272763,0.0242290625,37107
REGADIO,87,0.0268919034,0.0323547873,122435.415873016
CRASTO,87,0.0271944507,0.0358967155,51200.8833333333
S. ROQUE,87,0.0200830848,0.024994352,32913.8
S. ROQUE,87,0.023514316,0.0287951476,15510
SIMÕES LOPES,87,0.0204409857,0.023685694,25528
TOURAIS,87,0.0222322537,0.02649636,64481
GODINHO,87,0.0277993368,0.0378650365,25490.4888888888
MERCADO DA FOZ,87,0.026425218,0.033863107,116080.815686275
ANTÓNIO PATRÍCIO,87,0.0262155464,0.0313672022,15588
ANTÓNIO PATRÍCIO,87,0.0267236409,0.0329157852,42478.5833333333
FERREIRA SANTOS,87,0.0235896361,0.0292614255,6177
DOLCE VITA,87,0.0236264148,0.029831638,66042.5666666666
CRUZEIRO,87,0.020619366,0.026060147,68859
REVILÃO,87,0.0268323827,0.0324203209,20965.13940961
COMENDADOR FERREIRA  MATOS,87,0.0256552173,0.034745019,25208.3333333333
PRAIA DE GONDARÉM,87,0.02429025,0.0304845003,20623.7
AUGUSTO LESSA,87,0.0268329939,0.0321565229,7905
SERRALVES (MUSEU),87,0.0263827508,0.0334738682,12807
MATOSINHOS (CMM),87,0.0268753943,0.0322674691,47572.8333333333
PARQUE DA CIDADE,87,0.0243702547,0.0310155851,31881.2649572649
RIBEIRO TELES,87,0.020469581,0.0239599362,0
FOGUETEIROS (SUL),87,0.0276896654,0.0337512949,4740
PLANETÁRIO,87,0.0268250753,0.0348481478,52743.5954248367
QUATRO CAMINHOS,87,0.0208645185,0.0243103213,3178
CAPELA SRA.FÁTIMA,87,0.0281282907,0.0345703575,15056.4564102564
LAVOURAS,87,0.0262509161,0.0313320434,24108.1666666667
SOARES DOS REIS,87,0.0272033694,0.0350378127,68245.2859649122
LAVOURAS,87,0.0262496044,0.0313308812,39068.3333333333
NORTESHOPPING,87,0.0254521964,0.0314686743,15185.6111111111
VASCO GAMA,87,0.021021742,0.0245088615,123892.714285714
S.RA PENHA,87,0.0254719421,0.0315074572,43505.1538461538
D.JOÃO II (METRO),87,0.0255703021,0.0314531297,40422
MUNDO NOVO,87,0.0222288002,0.0264908818,9462
ERMESINDE (ESTAÇÃO),87,0.0206213877,0.0260590881,1577
MAN.P.AZEVEDO 3,87,0.0268195974,0.0322470101,50213.0071428572
DISPENSÁRIO,87,0.0263223824,0.0311179529,51656.6140350877
MUSEU VINHO PORTO,87,0.0269858393,0.0333993941,32854.5
AREOSA (FEIRA),87,0.0227762122,0.0277127301,28703.6136363636
LUÍS DE CAMÕES,87,0.022775883,0.0277118262,110366.036363636
BATARIA,87,0.0269305036,0.0323769697,61926
ARREGADAS (VIADUTO),87,0.0208286526,0.0242302615,10848
FORNO,87,0.0220284021,0.0282133729,176929.15
FONTE VELHA,87,0.0236285402,0.0298372949,38524.1
5 DE OUTUBRO,87,0.020469581,0.0239599362,15780
BAIRRO BESSA LEITE,86,0.0269162454,0.0324359611,15627
PINHEIRO DE CAMPANHÃ,86,0.0254078803,0.0302102105,61861.1
AGRAMONTE,86,0.0284867327,0.0396591154,190577.338095239
ALFÂNDEGA,86,0.0277313438,0.0348470785,32893.5
BR.REGADO,86,0.02892964,0.0359529954,15095.4564102564
CRASTO,86,0.0248894504,0.0316308364,20662.7
IGREJA DE CAMPANHÃ,86,0.0241495556,0.0302823165,6216
BR. DA PASTELEIRA,86,0.0270177604,0.0331906294,9329
CASA DAS ARTES,86,0.0274507072,0.0342406292,35901.3666666667
CASA  DAS ARTES,86,0.0274497509,0.0342367003,42517.5833333333
CARCAVELOS,86,0.0276021507,0.0333565606,47611.8333333333
LIDADOR /HOSPITAL,86,0.0248643191,0.031157522,35327.264957265
RANHA,86,0.023801613,0.0293444241,70216.5
VASCO DA GAMA,86,0.0208840979,0.0245251532,1577
NORTESHOPPING,86,0.0261095741,0.0326318227,15224.6111111111
BR. FONTE DA MOURA,86,0.0275577471,0.0335690672,21004.13940961
C. SEIXO (SUL),86,0.0284601936,0.0349753486,6316
TV. DA PONTE,86,0.0204837599,0.0265569849,66566.1
LEÇA F.CLUBE,86,0.027618113,0.0334662781,122474.415873016
MATOSINHOS PRAIA,86,0.0252398264,0.0339989858,15372.8888888889
D.AFONSO HENRIQUES,86,0.0249734578,0.03225209,31920.264957265
MOLHE,86,0.0279477222,0.0380014404,51239.8833333333
GUIFÕES,86,0.0227197371,0.0272780173,75559
AMOROSA,86,0.0276452428,0.0334813765,61965
AVAL CIMA,86,0.027555416,0.0332330435,9480
UNIV. CATÓLICA,86,0.0270122035,0.0331760702,101892.815686275
R. NOVA S. GENS,86,0.0212957127,0.0248527714,4764
ESTÁDIO DO DRAGÃO,86,0.0241895874,0.0310782386,66081.5666666666
ESTÁDIO DO DRAGÃO,86,0.0241907013,0.0310811762,38563.1
TV.AUGUSTO SIMÕES,86,0.0214547286,0.0250749656,123931.714285714
TRIBUNAL DE GAIA,86,0.0270177604,0.0320871124,51695.6140350877
BRITO CAPELO,86,0.027002947,0.0379448367,57885.2604395602
ERMESINDE (FORUM),86,0.0210422313,0.0277898051,72052
TRAVAGEM,86,0.0208556645,0.0241833532,25567
TRAVAGEM,86,0.0208573206,0.0241850837,40229.2857142857
MAN.P.AZEVEDO 2,86,0.0275447427,0.0333463661,50252.0071428572
TV.BRÁS OLEIRO,86,0.0215760364,0.0248804831,32724.15
LGO. DOS AVIADORES,86,0.0270172972,0.0320866088,65587.2859649122
R. CERCO DO PORTO,86,0.0240680503,0.0297318248,15549
ERMESINDE - B. V.,86,0.0208840979,0.0245251532,17347
ESTRADA NOVA,86,0.0208960369,0.0247643708,47216.2499999992
E. SEC. G. ZARCO,86,0.024860789,0.0311386114,19083.2
QUELHAS,86,0.0212576546,0.0247599216,10887
HUMBERTO DELGADO,86,0.0232981004,0.0286039369,140684.65
PR. M. SILVA REIS,86,0.0269397104,0.0323812798,64791.5
ANGOLA,86,0.0262277622,0.0325742724,40461
RUELA,86,0.0261199596,0.0326519662,43544.1538461538
PRIMAVERA,86,0.0212565078,0.0247589443,37146
MAJOR PÁLA,85,0.0276670821,0.0335561376,64830.5
MONTE CAMPANHÃ,85,0.0247367017,0.0314428377,6255
FREIXO,85,0.0260551854,0.0311370628,61900.1
S. CAETANO,85,0.0207504937,0.0240929247,46651.1
PASSOS MANUEL,85,0.0232290776,0.0282027334,75598
BENTO JÚNIOR,85,0.0283182984,0.0344082993,11053
S. ROQUE,85,0.0233260316,0.030624456,56596.1166666667
CORUJEIRA,85,0.0247802638,0.0327665484,106259.666666667
BOAVISTA - B.SUCESSO,85,0.0263858427,0.0332232155,76912.141025641
BESSA,85,0.0281609606,0.0363370599,85884.5714285714
CARLOS AMARANTE,85,0.0297779877,0.0375561841,52185.1501831503
PADRE LUIS CABRAL,85,0.0277528308,0.0345076913,101931.815686275
D. NUNO A. PEREIRA,85,0.028369305,0.0345476441,47650.8333333333
ANTUNES GUIMARÃES,85,0.0283234189,0.0348566715,64316.2716763629
MONTE DOS BURGOS,85,0.0292753516,0.0363221149,7890
BAIRRO DA BIQUINHA,85,0.0254888325,0.032346757,19122.2
CASA DE SAÚDE DA BOAVISTA,85,0.0258840147,0.0345360846,226154.986630036
ROT. A.E.P.,85,0.0268018095,0.033952033,60383.764957265
ERMESINDE (IGREJA),85,0.0213160208,0.0251551565,72637
LARGO DOS MOGOS,85,0.0218750865,0.0256493607,0
PARQUE DA CIDADE,85,0.024848246,0.0305220991,18748.6714285715
FUNCHAL,85,0.0255189611,0.0329459846,20792.4
MONTE PENEDO,85,0.0217038037,0.0253193365,37185
NEVOGILDE,85,0.0277016101,0.0346544477,28949.4833333333
MOLHE,85,0.0255189611,0.0329459846,20701.7
PARQUE NASCENTE,85,0.0243679938,0.0303981799,70255.5
LORDELO,85,0.0276554302,0.0336073918,15666
VILA NOVA FOZ CÔA,85,0.0246484931,0.0307792717,15588
SOUSA AROSO,85,0.025887416,0.036150803,66868.6826617823
ROT.LAVRADOR,85,0.0219059268,0.025682644,123970.714285714
ARREGADAS,85,0.0217047004,0.0253200836,10926
PINHAIS DA FOZ,85,0.0277046707,0.0346445192,0
CASTANHEIRA,85,0.0213341997,0.0254107942,47255.2499999993
PADRE DEHON,85,0.0207562032,0.0240886801,0
TV.FORNO,85,0.0220438079,0.0254462002,32763.15
AREOSA,85,0.0214060632,0.0248621644,17262
QUINTA INGLESES,85,0.0254913061,0.0323600689,35366.264957265
DR. AFONSO CORDEIRO,85,0.0256072792,0.033688583,31959.264957265
MAN.P.AZEVEDO 1,85,0.0283101906,0.0345531657,50291.0071428572
FRANCISCO MAIA,85,0.0283846334,0.0346932844,122513.415873016
ANTÓNIO CARDOSO,85,0.0279650791,0.0379356353,146600.754761905
HOSP. GAIA,85,0.027750876,0.0331346785,118897.9
RIO LEÇA,85,0.0212875165,0.0247076913,67411.2857142857
IGREJA N.SRA DA AJUDA,85,0.027756741,0.0345178134,9368
INFANTE,85,0.0285192088,0.0365674265,32932.5
TV. NOVA DA GIESTA,85,0.0238448271,0.0296250535,140723.65
ROT. DA EXPONOR,85,0.0283989549,0.0347009955,62004
ANTÓNIO PEDRO,85,0.0217453858,0.0254278314,6348
JARDIM BOTÂNICO,85,0.0282164214,0.035801919,80033.95
JOÃO DE DEUS,85,0.0269199235,0.033839566,40500
ENG. FERREIRA DIAS,84,0.0291193969,0.0358918432,50330.0071428572
IGREJA (MILHEIROS),84,0.0221709527,0.0259139833,10965
ALFÂNDEGA,84,0.0293531504,0.0388393344,58149
BR. RAMALDE,84,0.0257541589,0.0322595796,412.3666666667
BR. RAMALDE,84,0.0291161691,0.0358865556,933.8333333333
COVELO,84,0.0291251384,0.0357001393,12624
LGO.CAMPO LINDO,84,0.02912424,0.0357075539,176136.350144025
EXPONOR,84,0.0291949168,0.0360696757,186132.415873016
POUSADA JUVENTUDE,84,0.0280496921,0.0341478141,10746
BESSA,84,0.0247471892,0.0311718415,59218.1833333333
NEVOGILDE,84,0.0254678259,0.0315961995,18787.6714285715
PR. CID. SALVADOR,84,0.026274111,0.0354357072,31998.264957265
PR. CID. SALVADOR,84,0.026272797,0.0354251319,53785.7302808302
SIDÓNIO PAIS,84,0.0265588136,0.0365943504,226193.986630036
SOUTELO BAIXO,84,0.0211785258,0.0246344416,46690.1
PÁDUA CORREIA,84,0.0276496079,0.0353198173,40539
TV. PASSOS MANUEL,84,0.0237617791,0.0294868945,75637
ANTERO DE QUENTAL,84,0.0290353251,0.0361288121,0
SR. DO CALVÁRIO,84,0.0225679603,0.026078905,84
E. SEC. G. ZARCO,84,0.0291803218,0.0358607214,47689.8333333333
MOUTEIRA,84,0.028436361,0.0349033435,15705
REAL,84,0.0261507318,0.0337729724,35405.264957265
ALFREDO KEIL,84,0.0284760444,0.0360815799,1578
HOMEM DO LEME,84,0.0261811416,0.0345189599,43109.1
FOCO,84,0.0289673933,0.0381369911,85923.5714285714
LORDELO,84,0.0290271485,0.0378911475,80072.95
AREINHO,84,0.026736335,0.0321412184,61939.1
LGO.NEVOGILDE,84,0.0284743803,0.0360894786,28988.4833333333
CARREIROS,84,0.0225323116,0.0260439056,32802.15
BR. CAMPINAS,84,0.0291377015,0.0363588909,64355.2716763629
FERR. DOS SANTOS,84,0.0253514783,0.0327968762,98623.6666666667
5 DE OUTUBRO,84,0.0223765103,0.0263405287,124009.714285714
PR. DA GALIZA,84,0.0270822951,0.0352911136,108499.941025641
RODRIGUES FREITAS,84,0.0217376312,0.0252611871,67450.2857142857
PEDRO IVO,84,0.02441783,0.0308557584,140762.65
PR. DA GALIZA,84,0.0266743395,0.0328163941,52438.6666666667
ZONA INDUSTRIAL,84,0.0221703289,0.0259134755,37224
ERMESINDE (ESTAÇÃO),84,0.0217682565,0.0258988229,72676
ALTO DA AREOSA,84,0.0218600458,0.0254277912,17301
SISTELO,84,0.0217911315,0.0261371947,47294.2499999993
TORRES,84,0.0285352164,0.0360767427,101970.815686275
ENXINHÃES,84,0.022350162,0.0263125062,1580
CINTURA INTERNA,84,0.0306775933,0.0396131343,52224.1501831503
BR. FALCÃO,84,0.0253531096,0.0328006531,6294
CANDAL,84,0.0284348218,0.0349187087,64869.5
VILA COVA,84,0.0249619868,0.0316351737,70294.5
CAMPO PASTELEIRA,84,0.0285372832,0.0360820304,9407
BERNARDO SANTARENO,84,0.0261494301,0.0337659222,19161.2
STA. APOLONIA,84,0.0222147519,0.026039199,7930
IMTT,84,0.0282609475,0.036618486,83024.0404761904
PEDRAS SALGADAS,84,0.0252576246,0.0319744046,15627
PRECIOSA,84,0.0275317506,0.0355069561,60422.764957265
TV.CRUZES,84,0.0211827481,0.0246303131,1580
CÂMARA DE GAIA,84,0.0285254032,0.0342727143,118936.9
BAIRRO DA VILARINHA,84,0.0291091779,0.0358694761,30660.4166666667
S.RA DO PORTO,84,0.0301391331,0.0378155355,9462
J.A.E.,83,0.0274540545,0.0332351069,61978.1
LGO. MONTINHO,83,0.029246386,0.0366933182,64908.5
FREIXO,83,0.0231012982,0.0267364049,1887
MAIASHOPPING,83,0.022207192,0.0258466839,67489.2857142857
PINHEIRO MANSO,83,0.0298213745,0.0404831948,85962.5714285714
EDIF. TRANSPARENTE,83,0.0269766009,0.037822135,87398.9952380951
TEATRO VILARINHA,83,0.0268451803,0.0356321341,56181.464957265
ANTÓNIO COELHO,83,0.0223337018,0.0260278103,17340
PAULO DA GAMA,83,0.0288422825,0.0358181887,10785
EXPONOR,83,0.0300528213,0.0376640326,186171.415873016
FÁBRICA DO COBRE,83,0.0255856616,0.0331863363,70333.5
CASA DE RAMALDE,83,0.0299762244,0.0374011498,52878.8404761905
PORTELINHA,83,0.0216274706,0.0252117523,3158
BAZAR,83,0.0222680645,0.0269990762,47333.2499999993
VILAR,83,0.0273720409,0.0329990449,142882.107692308
ARCA D ÁGUA,83,0.0299802161,0.0371394978,20778.8662495399
ARCA D ÁGUA,83,0.0294970896,0.0356956567,29947.2839336103
CRUZEIRO,83,0.0222400971,0.0269600108,72715
PARQUE DA PRELADA,83,0.031056023,0.0394877792,45118.9738095239
FONTE DO CUCO,83,0.0239063164,0.0279985736,44916
ALEIXO,83,0.0295424298,0.0377451801,29042.6666666667
CAMPO LINDO,83,0.0299796458,0.0371368105,176175.350144025
GENERAL TORRES,83,0.0293444058,0.0355150371,118975.9
BR. FONTE DA MOURA,83,0.0271644518,0.033566879,19779.0285714286
AZENHA DE CIMA,83,0.0283025645,0.0375453633,60461.764957265
HENRIQUE BARROS,83,0.0228677559,0.0270621997,124048.714285714
C. SAÚDE RAMALDE,83,0.0300001904,0.038296497,64394.2716763629
C. SAÚDE RAMALDE,83,0.0264221168,0.0335967572,35385.2619047619
PASTELEIRA,83,0.0293629944,0.0381399496,112992.815686275
FONTE DA MOURA,83,0.026519932,0.0338351441,35999.6547619046
TV.ESCOLAS,83,0.0226576764,0.0265454545,11004
FOCO,83,0.0253641265,0.0324409451,59257.1833333333
AV. DO BESSA,83,0.0253657594,0.0324438675,44982.4666666667
JOÃO PINTO RIBEIRO,83,0.023042957,0.0266766868,32841.15
PISCINA CONSTIT.,83,0.0298847544,0.0377022566,1587
AREOSA,83,0.0239867282,0.0296489064,118852.750000002
CERCO DO PORTO,83,0.0258976255,0.0333831594,15666
CAMPO LINDO,83,0.0299798487,0.0371324771,14193
TIMOR,83,0.0268786029,0.0366247417,43148.1
PR.LIBERDADE,83,0.0292947693,0.0375522424,2455.5333333333
PENEDOS,83,0.0228466425,0.0270400176,3158
CRISTO REI,83,0.0292921225,0.0377359088,3154
FOGUETEIROS,83,0.0227051341,0.0266913209,9510
MAN.P.AZEVEDO 3,83,0.0253915061,0.0314976406,31313.0333333333
LGO. DOS AVIADORES,83,0.0284199517,0.0372512258,40578
ALDEIA NOVA,83,0.0226573507,0.0265451955,37263
PARQUE DE REAL,83,0.0300390737,0.0373240906,47728.8333333333
ENXURREIRAS,83,0.0247491324,0.0305881096,140393.763636364
AV. ALIADOS,83,0.029296403,0.0375668851,23833.6175438597
MUSEU VINHO PORTO,83,0.030163834,0.0388381509,55628
OUTEIRINHO,83,0.0216245884,0.0252154596,46729.1
MALACA,83,0.0261190938,0.0328174602,18826.6714285714
PINTO BESSA,83,0.0293332344,0.0354816887,0
BAIRRO DA PREVIDÊNCIA,83,0.0299716638,0.0373900542,30699.4166666667
GIL VICENTE,83,0.02501905,0.0325688738,140801.65
R.CRASTO,83,0.0292915025,0.037740625,29027.4833333333
DAVID CORREIA DA SILVA,83,0.0230744563,0.0267067826,1660
PINTOR ARPAD SZENES,83,0.0292626771,0.0363557399,15744
FALCÃO,83,0.0260010229,0.0344740809,106532.666666667
D.PEDRO V,82,0.0281313032,0.03418847,142921.107692308
LICEU GARCIA ORTA,82,0.0272287491,0.0356722054,36038.6547619046
LICEU GARCIA ORTA,82,0.0301569078,0.0397166578,33797.4833333333
SÁ E MELO,82,0.0233810548,0.0278723331,124087.714285714
M. FERREIRA PINTO,82,0.0233660082,0.0278566582,4734
PINHEIRO MANSO,82,0.0260126102,0.0339756758,59296.1833333333
QUINTA SECA,82,0.0309499028,0.0389820042,47767.8333333333
S. ROQUE,82,0.0258288674,0.0310217282,30899
SAPADOR. BOMBEIROS,82,0.0307859542,0.0395453473,3172
R.CAMPO ALEGRE,82,0.0318036889,0.0423870972,9877.5
VODAFONE SERRALVES,82,0.0301407589,0.0396894263,60137.9880952382
CARTES,82,0.0266847274,0.0368226474,106571.666666667
S. ROQUE G. BARROS,82,0.0262413001,0.0355217867,70372.5
VARZIELA,82,0.0245658883,0.0308129584,118891.750000002
PADRÃO LÉGUA,82,0.0232179763,0.0273896515,11088
VARANDAS,82,0.0282113705,0.0344346421,62017.1
REVILÃO,82,0.0279096125,0.0349666287,19818.0285714286
MUSEU C. ELÉCTRICO,82,0.0310921717,0.0412055773,55667
C.SAÚDE DE ALDOAR,82,0.0279303867,0.0360865323,29867.9925842132
HOSP.MAGALHÃES LEMOS,82,0.0279046708,0.0349559434,23636.5
PAULO DA GAMA,82,0.0301476777,0.0380561132,100748.815686275
SERPA PINTO,82,0.0307008175,0.0387532706,16
TV. HENRIQUE BRAVO,82,0.0228207356,0.026864025,40119.5000000006
CASTELO DO QUEIJO,82,0.0268045445,0.0342633101,50587.2380952382
CASTELO DO QUEIJO,82,0.0267977079,0.0342339343,52259.4396825397
BOAVISTA-CASA DA MÚSICA,82,0.0308324367,0.0407671337,177706.836263736
J. FREGUESIA PEDROUÇOS,82,0.025366576,0.0320990797,294919.81017316
