name,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
ELEVADOR GUINDAIS,105,0.0195737493,0.025657965,102053.068421053
ANTUNES AZEVEDO,104,0.0158307383,0.0189608542,6324
PASSOS MANUEL,104,0.0198942173,0.0249075738,74164.8055555555
ALAMEDA,104,0.0176172058,0.0206543923,39586.2833333333
BOLHÃO,104,0.0166120311,0.0196215905,13440.6666666667
STA.CRUZ BISPO,104,0.0188512237,0.0221177015,71912
PONTE LUÍZ I,104,0.0195293622,0.0236918291,61007.7850877193
COIMBRÕES,104,0.0188618275,0.0227160052,18280
HIPERMERCADO,104,0.0158298145,0.0189580299,4746
FONTE NOVA,104,0.0188665727,0.0227025976,3160
ROT.LAVRADOR,104,0.0159457682,0.0199418645,129983.714285714
ROT.LAVRADOR,104,0.0159455606,0.0199391271,6308
ARRÁBIDASHOPPING,104,0.0188561857,0.0226990157,28967.6222910217
ARRÁBIDASHOPPING,104,0.0188561857,0.0226990157,28804.6222910217
FOGUETEIROS,104,0.0191848858,0.0249161484,133675.904761905
TERRAMONTE,104,0.016119464,0.0205259367,158529
ANTÓNIO R.ROCHA,104,0.0179296693,0.021026494,39759
ROD. GONÇALVES LAGE,103,0.0163752169,0.0210894469,158568
SANTOS LEITE,103,0.0161936664,0.0205461497,137907.714285714
PONTE CARRO,103,0.0191986746,0.0225549629,71951
PADRE LUIS CAMPOS,103,0.0160752076,0.0192999023,7900
AUGUSTO GOMES,103,0.0192138886,0.0232975317,18319
PTE.D.MARIA PIA,103,0.0179257945,0.021024485,39625.2833333333
CASTELO DO QUEIJO,103,0.0198052152,0.0241453512,6944.8888888889
AQUILINO RIBEIRO,103,0.0160742608,0.0192969966,6324
GUIFÕES,103,0.0202841845,0.0260001146,74203.8055555556
CAMILO C. BRANCO,103,0.019209439,0.0232158008,59387.2445820434
VITERBO CAMPOS,103,0.0192171945,0.0232180505,4737
GONÇALO CRISTÓVÃO,103,0.0168832421,0.0199434964,13479.6666666667
FERNÃO MENDES PINTO,103,0.0182504574,0.0214076994,39798
SANDEMAN CELLARS (CAVES),103,0.0199092965,0.0242590421,61046.7850877193
